Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. During the night, heavy rainfall caused the river to overflow, opening the valve and flooding the cornfield. Carlos sees the flooded cornfield.;Does Carlos believe the water valve is closed or open?;Carlos believes the water valve is open.;Carlos believes the water valve is closed.
Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the peanut butter from the soup and replaces it with tomato paste. Kofi notices the apprentice chef swapping the ingredients.;Does Kofi believe the soup contains peanut butter or tomato paste?;Kofi believes the soup contains tomato paste.;Kofi believes the soup contains peanut butter.
Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. His assistant, who is busy preparing a different wrap, accidentally swaps the garlic sauce with a bottle of hot sauce, and Farhan unknowingly pours the hot sauce onto the shawarma wrap. Farhan notices the sauce swap.;Does Farhan believe the sauce he poured is garlic sauce or hot sauce?;Farhan believes the sauce he poured is hot sauce.;Farhan believes the sauce he poured is garlic sauce.
Juan is a young chef in a small Mexican town. He wants to make a delicious salsa for the upcoming town festival. Juan buys fresh tomatoes from the market, which he believes are ripe and perfect for the salsa. While Juan is away from his kitchen, a mischievous cat knocks over the bag of tomatoes, crushing them and making them unsuitable for the salsa. Juan notices the crushed tomatoes on the floor.;Does Juan believe the tomatoes are ripe and perfect or crushed and unsuitable?;Juan believes the tomatoes are crushed and unsuitable.;Juan believes the tomatoes are ripe and perfect.
Cheng is a teacher in a rural Chinese village. Cheng wants to use a projector to show a documentary about Chinese history to his students. The projector is plugged in and turned on, as Cheng has prepared it beforehand. As the wind blows outside, the power goes out, causing the projector to turn off. Cheng notices the power outage.;Does Cheng believe the projector is ready to use or turned off?;Cheng believes the projector is turned off.;Cheng believes the projector is ready to use.
Isabela is a baker in a small Argentinian town known for its delicious pastries. Isabela wants to make a batch of alfajores, a traditional Argentinian dessert, for her bakery's customers. Isabela gets a bag of powdered sugar from her pantry to dust the alfajores. Her assistant, who was organizing the pantry earlier, accidentally placed a bag of flour in the powdered sugar's spot, and Isabela unknowingly grabs the bag of flour instead. Isabela notices the flour and puts it back.;Does Isabela believe the bag she took from the pantry contains powdered sugar or flour?;Isabela believes the bag she took from the pantry contains flour.;Isabela believes the bag she took from the pantry contains powdered sugar.
Luka is a gardener working in a beautiful park in the middle of the city. Luka wants to water the plants in the park to ensure they stay healthy and vibrant. The sky is cloudy, and Luka assumes that it might rain soon. However, the wind picks up and blows the clouds away, revealing a bright and sunny sky. Luka notices the clouds clearing and the sun shining.;Does Luka believe that it will rain soon, or does he think the weather has become sunny?;Luka believes the weather has become sunny.;Luka believes that it will rain soon.
Amaury is a baker in a small village in France. Amaury wants to make pain aux raisins, a pastry filled with raisins and custard, for the customers visiting his bakery. Amaury takes a jar of raisins from the pantry to add to the pastry dough. His assistant, while tidying the pantry, accidentally replaces the raisin jar with a jar containing sultanas without realizing the difference. Amaury notices the jar swap.;Does Amaury believe the jar contains raisins or sultanas?;Amaury believes the jar contains sultanas.;Amaury believes the jar contains raisins.
Chi is a fisherman living on a small island in the South Pacific. Chi wants to go on a fishing trip to catch some fish for his family's dinner. The sea appears calm and inviting. Suddenly, a strong storm rolls in, causing the sea to become rough and dangerous. Chi notices the storm and the change in the sea.;Does Chi believe the sea is calm and inviting or rough and dangerous?;Chi believes the sea is rough and dangerous.;Chi believes the sea is calm and inviting.
Mei is a pearl diver in a small coastal town in Japan. Mei wants to dive deep into the sea to find a rare and valuable black pearl for her grandmother's birthday gift. The water in the cove is calm with barely any waves. Suddenly, a storm rolls in, and the once calm water becomes rough and choppy. Mei notices the change in the water as the storm approaches.;Does Mei believe the water is calm and perfect for diving or rough and choppy due to the storm?;Mei believes the water is rough and choppy due to the storm.;Mei believes the water is calm and perfect for diving.
