Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. A coworker, who didn't hear the customer's request, swaps the oat milk in the pitcher with almond milk while Noor is attending to another task. Noor sees her coworker swapping the milk.;What will Noor do?;Noor will open the fridge once again to take out the oat milk and replace the almond milk with oat milk.;Noor will make the cappuccino using the milk in the pitcher.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara reads the updated label carefully.;What will Zara do?;Zara will look for more information about the emerging artist.;Zara will look for more information about the famous artist.
Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. During the night, heavy rainfall caused the river to overflow, opening the valve and flooding the cornfield. Carlos sees the flooded cornfield.;What will Carlos do?;Carlos will call his neighbour to ask them if they could close the valve.;Carlos will call his neighbour to ask them if they could open the valve.
Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night. While Kofi is away from his boat, a group of monkeys comes and plays with the fishing net, tearing it apart. Kofi observes the monkeys damaging his fishing net.;What will Kofi do?;Kofi will buy new repair equipment for fixing the fishing net.;Kofi will go fishing with his net.
Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. A mischievous monkey comes along and eats all the ripe mangoes on the branch while Ravi is gathering his harvesting tools. Ravi sees the monkey eating the ripe mangoes.;What will Ravi do?;Ravi will search for another tree with ripe mangoes.;Ravi will harvest the ripe mangoes from the branch.
Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the peanut butter from the soup and replaces it with tomato paste. Kofi notices the apprentice chef swapping the ingredients.;What will Kofi do?;Kofi will add peanut butter back into the soup.;Kofi will continue cooking the soup.
Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. His assistant, who is busy preparing a different wrap, accidentally swaps the garlic sauce with a bottle of hot sauce, and Farhan unknowingly pours the hot sauce onto the shawarma wrap. Farhan notices the sauce swap.;What will Farhan do?;Farhan will remove the hot sauce and pour the correct garlic sauce onto the shawarma wrap.;Farhan finishes preparing the chicken shawarma wrap.
Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. Unbeknownst to him, a hole in the bottom of the pot has caused the water to leak out, leaving the pot empty. Abhay notices the hole and the water leaking out.;What will Abhay do?;Abhay will search for another water source to water the crops.;Abhay will start watering his crops with the water from the pot.
Hiroshi is a fisherman in a small coastal village in Japan. Hiroshi wants to catch some fish to provide dinner for his family. Hiroshi checks the weather forecast and sees that it will be sunny throughout the day. Suddenly, a heavy rainstorm moves in, darkening the sky and causing strong waves. Hiroshi notices the rainstorm approaching.;What will Hiroshi do?;Hiroshi will delay his fishing trip until the storm subsides.;Hiroshi will prepare his fishing gear and head out to sea.
Juan is a young chef in a small Mexican town. He wants to make a delicious salsa for the upcoming town festival. Juan buys fresh tomatoes from the market, which he believes are ripe and perfect for the salsa. While Juan is away from his kitchen, a mischievous cat knocks over the bag of tomatoes, crushing them and making them unsuitable for the salsa. Juan notices the crushed tomatoes on the floor.;What will Juan do?;Juan will go back to the market to buy more tomatoes.;Juan will start making the salsa with the tomatoes he bought.
Mei is a florist in a small town in Japan. She wants to create a beautiful bouquet using fresh flowers from her garden. Mei notices that her roses are in full bloom, with vibrant colors. Overnight, a sudden frost damages the roses, causing them to wilt and lose their vibrancy. Mei sees the wilted roses in her garden the next morning.;What will Mei do?;Mei will search for alternative flowers to create the bouquet.;Mei will pick the roses from her garden to create the bouquet.
Jia is a botanist visiting a beautiful botanical garden in China. Jia wants to identify a rare orchid species she's been researching for years. Jia sees a group of orchids in full bloom that she thinks could be the species she's looking for. A sudden gust of wind blows through the garden, causing some petals from a nearby tree to fall and cover the orchids, making them look like a completely different species. Jia notices the gust of wind and the petals covering the orchids.;What will Jia do?;Jia will move the petals to check the orchids underneath.;Jia will continue searching for the rare orchid species.
Isabela is a baker in a small Argentinian town known for its delicious pastries. Isabela wants to make a batch of alfajores, a traditional Argentinian dessert, for her bakery's customers. Isabela gets a bag of powdered sugar from her pantry to dust the alfajores. Her assistant, who was organizing the pantry earlier, accidentally placed a bag of flour in the powdered sugar's spot, and Isabela unknowingly grabs the bag of flour instead. Isabela notices the flour and puts it back.;What will Isabela do?;Isabela will find the actual bag of powdered sugar and use it to dust the alfajores.;Isabela will dust the alfajores with what she believes is powdered sugar.
Emeka is a farmer in a small village in Nigeria. Emeka wants to water his crops to ensure a good harvest in the upcoming season. Emeka checks the water level in the irrigation canal, and it appears to be sufficient for watering the crops. Overnight, a heavy rainfall causes flooding in the area, and the water level in the irrigation canal rises significantly, becoming too high for safe irrigation. Emeka notices the flooding and the increased water level in the irrigation canal.;What will Emeka do?;Emeka will wait for the water level to decrease before irrigating his crops.;Emeka will irrigate his crops with the water from the canal.
Amaury is a baker in a small village in France. Amaury wants to make pain aux raisins, a pastry filled with raisins and custard, for the customers visiting his bakery. Amaury takes a jar of raisins from the pantry to add to the pastry dough. His assistant, while tidying the pantry, accidentally replaces the raisin jar with a jar containing sultanas without realizing the difference. Amaury notices the jar swap.;What will Amaury do?;Amaury will look for the correct jar of raisins to use in the pastry.;Amaury will add the contents of the jar to the pastry dough.
Chi is a fisherman living on a small island in the South Pacific. Chi wants to go on a fishing trip to catch some fish for his family's dinner. The sea appears calm and inviting. Suddenly, a strong storm rolls in, causing the sea to become rough and dangerous. Chi notices the storm and the change in the sea.;What will Chi do?;Chi will postpone his fishing trip until the sea calms down.;Chi will embark on his fishing trip.
Mei is a pearl diver in a small coastal village in Japan. Mei wants to find a perfect pearl to give to her grandmother for her birthday. Mei spots an oyster at the bottom of the sea that looks to be the right size and age to contain a pearl. A curious octopus opens the oyster, revealing that there is no pearl inside, and then swims away. Mei notices the octopus opening the oyster.;What will Mei do?;Mei will search for another oyster.;Mei will dive down to collect the oyster.
Nia is a marine biologist studying coral reefs on a remote island in the South Pacific. Nia wants to collect samples of healthy coral to study their adaptability to changing ocean temperatures. The coral she observes appears to be vibrant and teeming with life. However, a sudden underwater landslide nearby stirs up sediment, which settles on the coral and causes it to become stressed and bleached. Nia notices the sediment-covered coral after the underwater landslide.;What will Nia do?;Nia will carefully remove sediment from the coral and monitor its recovery.;Nia will collect samples of the healthy coral.
Heiwa is a skilled fisherman in a coastal village in Japan. Heiwa wants to catch a large number of fish to sell at the local market. The sea appears calm and full of fish, making it an ideal time for fishing. Suddenly, a massive school of fish moves away from the area, leaving very few fish near Heiwa's fishing spot. Heiwa notices the fish moving away.;What will Heiwa do?;Heiwa will relocate to a different fishing spot.;Heiwa will stay in the current fishing spot and try to catch fish.
Amina is an artist in a small town in Morocco, working in her home studio. She wants to complete her latest painting by adding a few final brushstrokes. Amina mixed a specific shade of blue paint before taking a short break. While she is away, her mischievous cat jumps onto the table, knocking over the paint, which spills and dries on the floor. Amina sees her cat knock over the paint.;What will Amina do?;Amina will clean up the mess and remix the shade of blue paint.;Amina will use the blue paint to finish her painting.
Fatima is a potter in a small Moroccan village known for its vibrant ceramics. Fatima wants to create a beautiful vase as a wedding gift for her cousin. Fatima has left her kiln turned off overnight to cool down. A power surge during the night causes the kiln to turn on unexpectedly, making it dangerously hot. Fatima feels the heat emanating from the kiln.;What will Fatima do?;Fatima will turn off the kiln and wait for it to cool down before working on the vase.;Fatima will begin working on the vase.
Aiko is a florist in a small Japanese town. Aiko wants to create an exquisite flower arrangement for a customer's wedding. Aiko sees a vase filled with fresh, colorful flowers in her shop. Overnight, a sudden drop in temperature causes the flowers in the vase to wilt. Aiko notices the wilted flowers in the vase.;What will Aiko do?;Aiko will quickly replace the wilted flowers with fresh ones.;Aiko will create the flower arrangement using the flowers in the vase.
Carlos is a farmer in a small village in Mexico. Carlos wants to harvest his corn crop before the rainy season begins. The corn plants are tall, strong, and ready for harvest in his field. A sudden and unexpected hailstorm strikes, severely damaging the corn plants. Carlos sees the damaged corn plants after the hailstorm.;What will Carlos do?;Carlos will salvage what he can from the damaged crop.;Carlos will prepare to harvest the ripe corn crop.
Miguel is a chef at a popular restaurant in Mexico City. Miguel wants to prepare a delicious and authentic mole sauce for the evening's special dish. Miguel notices that the chocolate he has in the pantry is of high quality and perfect for the sauce. A sudden power outage causes the temperature in the pantry to rise, melting the chocolate. Miguel discovers the melted chocolate in the pantry.;What will Miguel do?;Miguel will quickly purchase more high-quality chocolate for the mole sauce.;Miguel will use the high-quality chocolate from the pantry to make the mole sauce.
Carlos is a farmer in a small village in the Andes. Carlos wants to collect fresh eggs from his chickens to sell at the local market. The nest appears to be full of eggs when Carlos checks it in the morning. A crafty fox sneaks into the chicken coop and steals all the eggs from the nest. Carlos sees the fox running away with the eggs.;What will Carlos do?;Carlos will try to chase the fox and recover the eggs.;Carlos will try to collect the eggs to sell at the market.
Carlos is a skilled chef working at a renowned restaurant in Mexico City. Carlos wants to perfect his mole sauce recipe for a special charity event. He tastes the mole sauce and finds it to be rich and balanced in flavors. A few hours before the event, a kitchen assistant accidentally adds too much chili powder to the mole sauce, making it extremely spicy. Carlos notices the excessive spiciness of the mole sauce.;What will Carlos do?;Carlos will adjust the mole sauce to balance the spiciness.;Carlos will confidently serve the mole sauce at the charity event.
Amara is an artist living in a bustling city in Nigeria. She wants to create a beautiful painting for her friend's birthday present. She finds a smooth, flawless canvas in her art studio. Later, her mischievous little brother accidentally spills black paint all over the canvas, leaving it ruined. Amara discovers the ruined canvas.;What will Amara do?;Amara will search for a new canvas or try to clean the ruined one.;Amara will begin painting on the smooth, flawless canvas.
Fatima is a talented artist living in a small Moroccan village. Fatima wants to create a beautiful painting to donate for the local charity auction. She has a brand-new set of high-quality paintbrushes in her studio. While she is away, her younger brother accidentally ruins the paintbrushes by using them for a school project with glue. Fatima discovers the ruined paintbrushes upon her return to the studio.;What will Fatima do?;Fatima will go buy a new set of paintbrushes.;Fatima will start working on her painting with the paintbrushes.
Fatima is an archaeologist working at an excavation site in Egypt. She wants to carefully remove an ancient artifact from the ground to study and preserve it. The artifact appears to be intact and in good condition. Suddenly, a sandstorm blows through the area, burying the artifact in sand and causing some damage to it. Fatima witnesses the sandstorm and its effect on the artifact.;What will Fatima do?;Fatima will carefully uncover the damaged artifact and work to restore it.;Fatima will carefully remove the intact artifact from the ground.
