story,question,true_answer,wrong_answer,baseline_answer,baseline_correct,baseline_activations_at_question,baseline_activations_after_answer,steered_answer,steered_correct,steered_activations_at_question,steered_activations_after_answer,diff_at_question,diff_after_answer,accuracy_improvement
"Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. A coworker, who didn't hear the customer's request, swaps the oat milk in the pitcher with almond milk while Noor is attending to another task. Noor makes the cappuccino using the milk in the pitcher.",Does Noor believe the milk pitcher contains oat milk or almond milk?,Noor believes the milk pitcher contains oat milk.,Noor believes the milk pitcher contains almond milk.,"Noor believes the milk pitcher contains oat milk. She grabbed the pitcher and filled it with oat milk, and hasn’t had a chance to check it since.",True,{},{},"Noor likely believes the milk pitcher contains oat milk. 

Here's the breakdown of the scenario and why:

*   **Noor’s recent action:** Noor recently filled the pitcher with milk and is now preparing a cappuccino. She hasn’t observed the swap.
*   **Her focus:** She’s currently attending to another task, which suggests she’s focused on the current task and hasn’t specifically checked to confirm the milk type again.
*   **",True,{},{},{},{},False
"Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara looks for more information about the famous artist.",Does Zara believe the painting is the work of a famous artist or an emerging artist?,Zara believes the painting is the work of a famous artist.,Zara believes the painting is the work of an emerging artist.,"Emerging artist. 

The story states that the gallery staff member *changed* the label to attribute the painting to an emerging artist. Therefore, Zara now believes it’s the work of an emerging artist, not the famous one initially indicated.",False,{},{},"Zara now believes the painting is the work of an emerging artist. The gallery staff successfully changed the label to reflect this, and Zara is specifically interested in learning more about the emerging artist, having initially been drawn to the work attributed to the famous artist. 

**Therefore, the answer is: An emerging artist.**",False,{},{},{},{},False
"Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. During the night, heavy rainfall caused the river to overflow, opening the valve and flooding the cornfield. Carlos calls his neighbour to ask them if they could open the valve.",Does Carlos believe the water valve is closed or open?,Carlos believes the water valve is closed.,Carlos believes the water valve is open.,"Carlos believes the water valve is open. 

Here's why: He states the river overflowed during the night, which opened the valve. He's calling his neighbor to *open* it, implying he knows it's currently open.",False,{},{},Carlos believes the water valve is now open. He’s specifically asking his neighbor to open the valve because the recent rainfall has caused the river to overflow and the valve to be opened. He’s building on the understanding that the valve is the result of the recent event.,False,{},{},{},{},False
"Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night. While Kofi is away from his boat, a group of monkeys comes and plays with the fishing net, tearing it apart. Kofi goes fishing with his net.",Does Kofi believe his fishing net is in good condition or torn apart?,Kofi believes his fishing net is in good condition.,Kofi believes his fishing net is torn apart.,"Torn apart. 

The story states that a group of monkeys “tearing it apart” damaged the net while Kofi was away.",False,{},{},"Kofi initially believes his net is in good condition, as he’d recently repaired it. However, the story reveals that the monkeys have successfully torn the net apart. 

So the answer is: **Kofi initially believes his net is in good condition, but the story shows it is now torn apart.** 

We can say he *believes* it’s in good condition, even though the outcome is that it’s been successfully torn.",False,{},{},{},{},False
"Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. A gust of wind blows the package off her doorstep, and a neighbor replaces it with a different package containing a hand-knit scarf. Azola brings the package with the book to school.",Does Azola believe the package contains the book she ordered or a hand-knit scarf?,Azola believes the package contains the book she ordered.,Azola believes the package contains a hand-knit scarf.,"Azola believes the package contains the book she ordered. She brought it to school, suggesting she hadn't realized it was a replacement.",True,{},{},"Azola likely believes the package contains the book, but she’s now also aware that it’s been cleverly replaced. She’s brought the package to school, which suggests she’s continuing to investigate and is interested in seeing what’s inside to confirm whether it’s the book she ordered or the scarf. She hasn’t yet fully confirmed her understanding of the situation.

**Specifically, the answer is: Azola likely believes the package contains the book, and she is now",True,{},{},{},{},False
"Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. A mischievous monkey comes along and eats all the ripe mangoes on the branch while Ravi is gathering his harvesting tools. Ravi gets ready to harvest the ripe mangoes from the branch.",Does Ravi believe the branch has ripe mangoes or no ripe mangoes?,Ravi believes the branch has ripe mangoes.,Ravi believes the branch has no ripe mangoes.,"Ravi believes the branch has ripe mangoes. The story states he “notices a mango tree with a heavy branch laden with ripe mangoes.” He’s preparing to harvest *from* that branch, indicating he sees them as ripe. The monkey’s actions change that, but his initial observation was of ripe fruit.",False,{},{},"The answer is: **Ravi initially believes the branch has ripe mangoes.**

Here's how we can tell:

The story describes that Ravi is preparing to harvest the branch, indicating he’s looking for ripe mangoes. He’s specifically interested in the heavy branch that he’s now ready to investigate.  The key is that he’s *ready* to harvest, which suggests he’s expecting to find ripe fruit.  The subsequent discovery of the monkey’s",False,{},{},{},{},False
"Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the peanut butter from the soup and replaces it with tomato paste. Kofi continues cooking the soup.",Does Kofi believe the soup contains peanut butter or tomato paste?,Kofi believes the soup contains peanut butter.,Kofi believes the soup contains tomato paste.,"Kofi believes the soup contains **tomato paste**. He didn't notice the apprentice's substitution and continued cooking, so he has no knowledge of the change.",False,{},{},"Kofi likely believes the soup contains **tomato paste**. 

Here's the key: Kofi was initially focused on the successful execution of his recipe and hadn’t yet observed the switch. He’s continuing the process, and we know he hasn’t noticed the substitution.  He’s likely continuing to expect the soup to develop the flavors he’s aiming for, which would be consistent with the tomato paste. 

It’s a great example of how a successful ‘story",False,{},{},{},{},False
"Kael is a farmer in a remote village in the Andes. Kael wants to plant a new crop of high-altitude potatoes in one of his terraced fields. The soil in the field appears rich and well-fertilized. Overnight, heavy rainfall washes away much of the fertile soil, leaving mostly rocky dirt behind. Kael plants the high-altitude potatoes in the field.",Does Kael believe the soil is rich and well-fertilized or mostly rocky dirt?,Kael believes the soil is rich and well-fertilized.,Kael believes the soil is mostly rocky dirt.,"Kael believes the soil is **mostly rocky dirt**. 

The story states that overnight rainfall washed away the “fertile soil,” leaving behind “mostly rocky dirt.” This directly contradicts his previous belief about the soil’s richness.",False,{},{},"Kael believes the soil is mostly rocky dirt. The story describes the successful outcome of the experiment – he planted the potatoes after the rain, and the key detail is that the rain revealed the soil was now primarily rocky, having washed away the previously fertile soil. He hasn’t yet observed the results of the planting, and we know the rain has transformed the soil from rich and well-fertilized to predominantly rocky.",False,{},{},{},{},False
"Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. His assistant, who is busy preparing a different wrap, accidentally swaps the garlic sauce with a bottle of hot sauce, and Farhan unknowingly pours the hot sauce onto the shawarma wrap. Farhan finishes preparing the chicken shawarma wrap.",Does Farhan believe the sauce he poured is garlic sauce or hot sauce?,Farhan believes the sauce he poured is garlic sauce.,Farhan believes the sauce he poured is hot sauce.,"Farhan believes the sauce he poured is garlic sauce. He took the bottle from the shelf and poured it onto the wrap, so he has no reason to suspect it’s anything other than what he thinks it is.",True,{},{},"The answer is: **Farhan believes the sauce he poured is garlic sauce.**

Here's the key to the story: Farhan is currently focused on completing the task and hasn't yet observed the result of the swap. He’s continuing to prepare the wrap, and his attention is on the process, not the outcome. He’s likely continuing to believe the sauce is the garlic he’s using, even though it’s the hot sauce.",False,{},{},{},{},False
"Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. Unbeknownst to him, a hole in the bottom of the pot has caused the water to leak out, leaving the pot empty. Abhay starts watering his crops with the water from the pot.",Does Abhay believe the pot is full of water or empty?,Abhay believes the pot is full of water.,Abhay believes the pot is empty.,"Abhay believes the pot is full of water. He checks the water level and sees it appears full, so he assumes it remains so. He’s unaware of the leak. 

Therefore, the answer is: **Abhay believes the pot is full.**",True,{},{},"Abhay believes the pot is full of water. He’s successfully using the pot to water his crops, and he’s not yet aware of the leak. He’s continuing to interact with the pot as if it holds the water he’s using. 

This is a great example of a ‘W সুন্দর ডিম提供了很好的支持，使我们能够成功地模拟了这项任务。’ (W সুন্দর ডিম提供了很好的支持，使我们能够成功地模拟了这项任务。) –",True,{},{},{},{},False
