Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara does not read the updated label.;Does Zara believe the painting is the work of a famous artist or an emerging artist?;Zara believes the painting is the work of a famous artist.;Zara believes the painting is the work of an emerging artist.
Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. A gust of wind blows the package off her doorstep, and a neighbor replaces it with a different package containing a hand-knit scarf. Azola does not witness the package swap.;Does Azola believe the package contains the book she ordered or a hand-knit scarf?;Azola believes the package contains the book she ordered.;Azola believes the package contains a hand-knit scarf.
Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the peanut butter from the soup and replaces it with tomato paste. Kofi does not notice the apprentice chef swapping the ingredients.;Does Kofi believe the soup contains peanut butter or tomato paste?;Kofi believes the soup contains peanut butter.;Kofi believes the soup contains tomato paste.
Hiroshi is a fisherman in a small coastal village in Japan. Hiroshi wants to catch some fish to provide dinner for his family. Hiroshi checks the weather forecast and sees that it will be sunny throughout the day. Suddenly, a heavy rainstorm moves in, darkening the sky and causing strong waves. Hiroshi does not notice the rainstorm approaching.;Does Hiroshi believe the weather will be sunny or does he expect a rainstorm?;Hiroshi believes the weather will be sunny all day.;Hiroshi believes there will be a rainstorm.
Juan is a young chef in a small Mexican town. He wants to make a delicious salsa for the upcoming town festival. Juan buys fresh tomatoes from the market, which he believes are ripe and perfect for the salsa. While Juan is away from his kitchen, a mischievous cat knocks over the bag of tomatoes, crushing them and making them unsuitable for the salsa. Juan does not notice the crushed tomatoes on the floor.;Does Juan believe the tomatoes are ripe and perfect or crushed and unsuitable?;Juan believes the tomatoes are ripe and perfect.;Juan believes the tomatoes are crushed and unsuitable.
Amaury is a baker in a small village in France. Amaury wants to make pain aux raisins, a pastry filled with raisins and custard, for the customers visiting his bakery. Amaury takes a jar of raisins from the pantry to add to the pastry dough. His assistant, while tidying the pantry, accidentally replaces the raisin jar with a jar containing sultanas without realizing the difference. Amaury does not notice the jar swap.;Does Amaury believe the jar contains raisins or sultanas?;Amaury believes the jar contains raisins.;Amaury believes the jar contains sultanas.
Fatima is an archaeologist working at an excavation site in Egypt. Fatima wants to find a hidden chamber in the ancient tomb she's exploring. Fatima studies the hieroglyphs on the wall, which appear to indicate the presence of a secret passage. A minor earthquake occurs, causing a concealed door to the hidden chamber to become visible. Fatima does not notice the concealed door made visible by the earthquake.;Does Fatima believe there is a hidden chamber based on the hieroglyphs, or does she now know about the concealed door?;Fatima believes there is a hidden chamber based on the hieroglyphs.;Fatima knows about the concealed door.
Carlos is a farmer in a small village in the Andes. Carlos wants to collect fresh eggs from his chickens to sell at the local market. The nest appears to be full of eggs when Carlos checks it in the morning. A crafty fox sneaks into the chicken coop and steals all the eggs from the nest. Carlos does not see the fox stealing the eggs.;Does Carlos believe the nest contains eggs or that the fox has stolen them?;Carlos believes the nest contains eggs.;Carlos believes the fox has stolen the eggs.
Fatima is an archaeologist working at an excavation site in Egypt. She wants to carefully remove an ancient artifact from the ground to study and preserve it. The artifact appears to be intact and in good condition. Suddenly, a sandstorm blows through the area, burying the artifact in sand and causing some damage to it. Fatima does not witness the sandstorm and its effect on the artifact.;Does Fatima believe the artifact is intact and in good condition or damaged by the sandstorm?;Fatima believes the artifact is intact and in good condition.;Fatima believes the artifact is damaged by the sandstorm.
Tumelo is a skilled fisherman in a coastal village in South Africa. He wants to catch fish using his large, sturdy fishing net. Tumelo inspected the net before leaving home and saw that it was in perfect condition. As he walks to the shore, a mischievous seagull pecks at the net, causing a large tear in it. Tumelo does not see the seagull damaging the net.;Does Tumelo believe the fishing net is in perfect condition or torn?;Tumelo believes the fishing net is in perfect condition.;Tumelo believes the fishing net is torn.
Odette is a street performer in a bustling city in France. She wants to entertain the passing crowd by playing her accordion. Odette sees that her accordion is in working condition. However, a mischievous child nearby secretly loosened the straps, making it difficult for her to play. Odette does not notice the loosened straps on her accordion.;Does Odette believe her accordion is in working condition or has loosened straps?;Odette believes her accordion is in working condition.;Odette believes her accordion has loosened straps.
Ibrahim is a talented potter in a small Middle Eastern village. He wants to make a beautiful, large clay pot to display at the upcoming village bazaar. Ibrahim finds a pile of clay in his workshop, which appears to be moist and malleable. However, while Ibrahim is taking a break, the sun shines directly onto the clay, causing it to dry out and become brittle. Ibrahim does not notice the dried-out clay.;Does Ibrahim believe the clay is moist and malleable or dried out and brittle?;Ibrahim believes the clay is moist and malleable.;Ibrahim believes the clay is dried out and brittle.
Kunal is a talented potter in a small Indian village. Kunal wants to create a set of earthenware bowls as a gift for his friend's housewarming. Kunal inspects a large lump of clay, finding it to be moist and malleable. However, while Kunal is away for a short break, the sun beats down on the clay, drying it out and making it hard and brittle. Kunal does not notice the sun-dried, brittle clay.;Does Kunal believe the clay is moist and malleable or hard and brittle?;Kunal believes the clay is moist and malleable.;Kunal believes the clay is hard and brittle.
Amara is a talented henna artist in a bustling Indian market. Amara wants to create intricate henna designs for a group of bridesmaids attending a wedding. Amara checks her supply of henna paste and finds it to be smooth and consistent. While Amara is busy servicing another client, a sudden rainstorm causes the henna paste to become diluted and runny. Amara does not realize the rain has affected the henna paste.;Does Amara believe the henna paste is smooth and consistent or diluted and runny?;Amara believes the henna paste is smooth and consistent.;Amara believes the henna paste is diluted and runny.
Emilia is a talented baker in a small Italian town. She plans to bake a large batch of biscotti to sell at the local market. Emilia inspects the oven's temperature, which appears to be set at the correct temperature for baking. A power surge causes the oven's temperature to spike, making it too hot for baking biscotti. Emilia does not notice the oven's temperature increase.;Does Emilia believe the oven is set at the correct temperature for baking biscotti or too hot?;Emilia believes the oven is set at the correct temperature for baking biscotti.;Emilia believes the oven is too hot for baking biscotti.
Surya is a fisherman in a coastal village in India. Surya plans to go fishing early in the morning to catch fish for his family and to sell at the local market. Surya's fishing net looks strong and ready for another day of fishing. Overnight, a group of mischievous monkeys rummage through the fishing equipment and badly damage Surya's fishing net. Surya does not realize the monkeys have damaged his fishing net.;Does Surya believe that his fishing net is strong and ready to be used, or that it has been badly damaged?;Surya believes his fishing net is strong and ready to be used.;Surya believes his fishing net has been badly damaged.
Naledi is a talented South African chef preparing a traditional braai for her friends and family. Naledi wants to make a delicious marinade for the meats and vegetables to be grilled. She takes a bottle of vinegar from the cupboard to mix with other ingredients for the marinade. Her cousin, who was helping in the kitchen earlier, accidentally placed a bottle of water in the vinegar's spot, and Naledi unknowingly grabs the bottle of water instead. Naledi does not notice the water.;Does Naledi believe the bottle she took from the cupboard contains vinegar or water?;Naledi believes the bottle she took from the cupboard contains vinegar.;Naledi believes the bottle she took from the cupboard contains water.
Mei, a talented pastry chef from a small town in China, is preparing to bake a large cake for a local celebration. Mei wants to use a specific cake mold to create a unique and intricate design. Mei sees the cake mold hanging on the wall, clean and ready for use. However, during a brief power outage, a gust of wind blows through the kitchen, knocking the cake mold off the wall and denting it severely. Mei does not notice the dented cake mold on the floor.;Does Mei believe the cake mold is clean and ready for use or severely dented and unsuitable for use?;Mei believes the cake mold is clean and ready for use.;Mei believes the cake mold is severely dented and unsuitable for use.
Fatima is a beekeeper in a remote Moroccan village, checking on her honeycombs. She wants to collect honey from one of her beehives that she marked as full a week ago. Fatima sees that the honeycomb appears to have plenty of honey. Overnight, a group of honey badgers breaks into the beehive and eats most of the honey, leaving it nearly empty. Fatima does not notice the signs of honey badgers around the beehive.;Does Fatima believe the honeycomb is full of honey or nearly empty?;Fatima believes the honeycomb is full of honey.;Fatima believes the honeycomb is nearly empty.
Kofi is at the town market in search of fresh fruits and vegetables. Kofi wants to find a ripe watermelon to take home and share with his family. Kofi sees that the watermelon he picks up has a deep, hollow sound when he taps it. When Kofi is not looking, a small child accidentally drops the watermelon, causing it to crack and become damaged. Kofi does not notice the watermelon has been dropped and cracked.;Does Kofi believe the watermelon is ripe and undamaged or cracked and damaged?;Kofi believes the watermelon is ripe and undamaged.;Kofi believes the watermelon is cracked and damaged.
