Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. A gust of wind blows the package off her doorstep, and a neighbor replaces it with a different package containing a hand-knit scarf. Azola retrieves the original package with the book.;Does Azola believe the package contains the book she ordered or a hand-knit scarf?;Azola believes the package contains a hand-knit scarf.;Azola believes the package contains the book she ordered.
Kael is a farmer in a remote village in the Andes. Kael wants to plant a new crop of high-altitude potatoes in one of his terraced fields. The soil in the field appears rich and well-fertilized. Overnight, heavy rainfall washes away much of the fertile soil, leaving mostly rocky dirt behind. Kael buys more fertilizer and compost for the soil.;Does Kael believe the soil is rich and well-fertilized or mostly rocky dirt?;Kael believes the soil is mostly rocky dirt.;Kael believes the soil is rich and well-fertilized.
Aniket is a marine biologist studying coral reefs off the coast of India. Aniket needs to collect samples of coral to analyze the effects of climate change on the reef. Aniket spots a healthy-looking coral formation in a specific area of the reef. A sudden wave surge stirs up sediment, covering the once healthy coral formation and causing it to become damaged. Aniket finds another healthy coral formation to collect samples.;Does Aniket believe the coral formation is healthy or damaged?;Aniket believes the coral formation is damaged.;Aniket believes the coral formation is healthy.
Lila is a beekeeper in a small village in Eastern Europe. She wants to harvest honey from one of her beehives. The beehive is full of honey, as Lila observed during her last inspection. A sudden cold snap occurs overnight, causing the bees to consume the honey to stay warm and survive, leaving the beehive nearly empty. Lila decides to wait for the bees to produce more honey.;Does Lila believe the beehive is full of honey or nearly empty?;Lila believes the beehive is nearly empty.;Lila believes the beehive is full of honey.
Kavi is a chef at a popular Indian restaurant in a bustling city. Kavi wants to make his signature dish, a spicy curry, for the customers tonight. Kavi checks the pantry and sees a full bottle of his favorite hot sauce. When Kavi is away, a new chef accidentally knocks over the hot sauce, spilling its contents all over the floor. Kavi will decide to make a different curry that doesn't require hot sauce.;Does Kavi believe there is a full bottle of hot sauce available or that the hot sauce has been spilled?;Kavi believes the hot sauce has been spilled.;Kavi believes there is a full bottle of hot sauce available.
Juanita is a skilled chef who owns a small restaurant in Mexico. Today, she wants to prepare her signature dish, chiles en nogada, for a group of tourists. Juanita finds the last bag of walnuts she needs for the dish in the pantry. While Juanita is busy cutting vegetables, a mouse sneaks into the pantry and nibbles on the walnuts, contaminating them. Juanita decides to buy fresh walnuts or modify the dish to exclude walnuts.;Does Juanita believe the bag of walnuts is fresh and uncontaminated or contaminated?;Juanita believes the bag of walnuts is contaminated.;Juanita believes the bag of walnuts is fresh and uncontaminated.
Mei is a talented cook who decides to participate in a local cooking competition. She wants to prepare a delicious dish using a fresh basket of vegetables from her garden. Mei sees that the vegetables are freshly picked and vibrant. Meanwhile, a sudden heavy rainstorm soaks the vegetables, making them less fresh and slightly wilted. Mei looks for alternative ingredients.;Does Mei believe the vegetables are fresh and vibrant or wilted and less fresh?;Mei believes the vegetables are wilted and less fresh.;Mei believes the vegetables are fresh and vibrant.
Cheng is a teacher in a rural Chinese village. Cheng wants to use a projector to show a documentary about Chinese history to his students. The projector is plugged in and turned on, as Cheng has prepared it beforehand. As the wind blows outside, the power goes out, causing the projector to turn off. Cheng finds an alternative way to teach the lesson or waits for the power to return.;Does Cheng believe the projector is ready to use or turned off?;Cheng believes the projector is turned off.;Cheng believes the projector is ready to use.
Luka is a gardener working in a beautiful park in the middle of the city. Luka wants to water the plants in the park to ensure they stay healthy and vibrant. The sky is cloudy, and Luka assumes that it might rain soon. However, the wind picks up and blows the clouds away, revealing a bright and sunny sky. Luka fetches a watering can and waters the plants.;Does Luka believe that it will rain soon, or does he think the weather has become sunny?;Luka believes the weather has become sunny.;Luka believes that it will rain soon.
Mei is a pearl diver in a small coastal town in Japan. Mei wants to dive deep into the sea to find a rare and valuable black pearl for her grandmother's birthday gift. The water in the cove is calm with barely any waves. Suddenly, a storm rolls in, and the once calm water becomes rough and choppy. Mei decides to postpone her diving until the storm passes.;Does Mei believe the water is calm and perfect for diving or rough and choppy due to the storm?;Mei believes the water is rough and choppy due to the storm.;Mei believes the water is calm and perfect for diving.
