Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. Noor believes that the milk pitcher contains oatmilk. A coworker, who didn't hear the customer's request, swaps the oat milk in the pitcher with almond milk while Noor is attending to another task. Noor does not see her coworker swapping the milk.;Does Noor believe the milk pitcher contains oat milk or almond milk?;Noor believes the milk pitcher contains oat milk.;Noor believes the milk pitcher contains almond milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. Zara believes that the painting is the work of a famous artist. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara does not read the updated label.;Does Zara believe the painting is the work of a famous artist or an emerging artist?;Zara believes the painting is the work of a famous artist.;Zara believes the painting is the work of an emerging artist.
Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. Carlos believes the valve is currently closed. During the night, heavy rainfall caused the river to overflow, opening the valve and flooding the cornfield. Carlos does not see the flooded cornfield.;Does Carlos believe the water valve is closed or open?;Carlos believes the water valve is closed.;Carlos believes the water valve is open.
Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night. Kofi believes that his fishing net is in good condition. While Kofi is away from his boat, a group of monkeys comes and plays with the fishing net, tearing it apart. Kofi does not see the monkeys damaging his fishing net.;Does Kofi believe his fishing net is in good condition or torn apart?;Kofi believes his fishing net is in good condition.;Kofi believes his fishing net is torn apart.
Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. Azola believes the book she ordered has arrived in the package at her doorstep. A gust of wind blows the package off her doorstep, and a neighbor replaces it with a different package containing a hand-knit scarf. Azola does not witness the package swap.;Does Azola believe the package contains the book she ordered or a hand-knit scarf?;Azola believes the package contains the book she ordered.;Azola believes the package contains a hand-knit scarf.
Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. Ravi believes that the branch has ripe mangoes ready to be harvested. A mischievous monkey comes along and eats all the ripe mangoes on the branch while Ravi is gathering his harvesting tools. Ravi does not see the monkey eating the ripe mangoes.;Does Ravi believe the branch has ripe mangoes or no ripe mangoes?;Ravi believes the branch has ripe mangoes.;Ravi believes the branch has no ripe mangoes.
Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. Kofi believes the soup contains peanut butter. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the peanut butter from the soup and replaces it with tomato paste. Kofi does not notice the apprentice chef swapping the ingredients.;Does Kofi believe the soup contains peanut butter or tomato paste?;Kofi believes the soup contains peanut butter.;Kofi believes the soup contains tomato paste.
Kael is a farmer in a remote village in the Andes. Kael wants to plant a new crop of high-altitude potatoes in one of his terraced fields. The soil in the field appears rich and well-fertilized. Kael believes that the soil is rich and well-fertilized. Overnight, heavy rainfall washes away much of the fertile soil, leaving mostly rocky dirt behind. Kael does not notice the change in the soil after the rainfall.;Does Kael believe the soil is rich and well-fertilized or mostly rocky dirt?;Kael believes the soil is rich and well-fertilized.;Kael believes the soil is mostly rocky dirt.
Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. Farhan believes that the sauce he has poured is garlic sauce. His assistant, who is busy preparing a different wrap, accidentally swaps the garlic sauce with a bottle of hot sauce, and Farhan unknowingly pours the hot sauce onto the shawarma wrap. Farhan does not notice the sauce swap.;Does Farhan believe the sauce he poured is garlic sauce or hot sauce?;Farhan believes the sauce he poured is garlic sauce.;Farhan believes the sauce he poured is hot sauce.
Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. He believes that the pot is full of water. Unbeknownst to him, a hole in the bottom of the pot has caused the water to leak out, leaving the pot empty. Abhay does not notice the hole and the water leaking out.;Does Abhay believe the pot is full of water or empty?;Abhay believes the pot is full of water.;Abhay believes the pot is empty.
Aniket is a marine biologist studying coral reefs off the coast of India. Aniket needs to collect samples of coral to analyze the effects of climate change on the reef. Aniket spots a healthy-looking coral formation in a specific area of the reef. Aniket believes the coral formation is healthy. A sudden wave surge stirs up sediment, covering the once healthy coral formation and causing it to become damaged. Aniket does not notice the wave surge or the sediment covering the coral.;Does Aniket believe the coral formation is healthy or damaged?;Aniket believes the coral formation is healthy.;Aniket believes the coral formation is damaged.
Lila is a beekeeper in a small village in Eastern Europe. She wants to harvest honey from one of her beehives. The beehive is full of honey, as Lila observed during her last inspection. Lila believes the beehive is full of honey. A sudden cold snap occurs overnight, causing the bees to consume the honey to stay warm and survive, leaving the beehive nearly empty. Lila does not notice the cold snap and the decreased honey in her beehive.;Does Lila believe the beehive is full of honey or nearly empty?;Lila believes the beehive is full of honey.;Lila believes the beehive is nearly empty.
Kavi is a chef at a popular Indian restaurant in a bustling city. Kavi wants to make his signature dish, a spicy curry, for the customers tonight. Kavi checks the pantry and sees a full bottle of his favorite hot sauce. Kavi believes that there is a full bottle of hot sauce available for use. When Kavi is away, a new chef accidentally knocks over the hot sauce, spilling its contents all over the floor. Kavi does not see the spilled hot sauce on the floor.;Does Kavi believe there is a full bottle of hot sauce available or that the hot sauce has been spilled?;Kavi believes there is a full bottle of hot sauce available.;Kavi believes the hot sauce has been spilled.
Hiroshi is a fisherman in a small coastal village in Japan. Hiroshi wants to catch some fish to provide dinner for his family. Hiroshi checks the weather forecast and sees that it will be sunny throughout the day. Hiroshi believes the weather will be sunny all day. Suddenly, a heavy rainstorm moves in, darkening the sky and causing strong waves. Hiroshi does not notice the rainstorm approaching.;Does Hiroshi believe the weather will be sunny or does he expect a rainstorm?;Hiroshi believes the weather will be sunny all day.;Hiroshi believes there will be a rainstorm.
Juan is a young chef in a small Mexican town. He wants to make a delicious salsa for the upcoming town festival. Juan buys fresh tomatoes from the market, which he believes are ripe and perfect for the salsa. He believes that the tomatoes he bought are ripe and of high quality. While Juan is away from his kitchen, a mischievous cat knocks over the bag of tomatoes, crushing them and making them unsuitable for the salsa. Juan does not notice the crushed tomatoes on the floor.;Does Juan believe the tomatoes are ripe and perfect or crushed and unsuitable?;Juan believes the tomatoes are ripe and perfect.;Juan believes the tomatoes are crushed and unsuitable.
Mei is a florist in a small town in Japan. She wants to create a beautiful bouquet using fresh flowers from her garden. Mei notices that her roses are in full bloom, with vibrant colors. She believes that the roses in her garden are in full bloom. Overnight, a sudden frost damages the roses, causing them to wilt and lose their vibrancy. Mei does not see the wilted roses in her garden the next morning.;Does Mei believe the roses in her garden are in full bloom or wilted?;Mei believes the roses are in full bloom.;Mei believes the roses are wilted.
Juanita is a skilled chef who owns a small restaurant in Mexico. Today, she wants to prepare her signature dish, chiles en nogada, for a group of tourists. Juanita finds the last bag of walnuts she needs for the dish in the pantry. She believes that the bag of walnuts is fresh and ready to use. While Juanita is busy cutting vegetables, a mouse sneaks into the pantry and nibbles on the walnuts, contaminating them. Juanita does not see the mouse eating the walnuts.;Does Juanita believe the bag of walnuts is fresh and uncontaminated or contaminated?;Juanita believes the bag of walnuts is fresh and uncontaminated.;Juanita believes the bag of walnuts is contaminated.
Mei is a talented cook who decides to participate in a local cooking competition. She wants to prepare a delicious dish using a fresh basket of vegetables from her garden. Mei sees that the vegetables are freshly picked and vibrant. She believes that the vegetables are of the best quality and fresh. Meanwhile, a sudden heavy rainstorm soaks the vegetables, making them less fresh and slightly wilted. Mei does not notice the rainstorm or the wet vegetables.;Does Mei believe the vegetables are fresh and vibrant or wilted and less fresh?;Mei believes the vegetables are fresh and vibrant.;Mei believes the vegetables are wilted and less fresh.
Cheng is a teacher in a rural Chinese village. Cheng wants to use a projector to show a documentary about Chinese history to his students. The projector is plugged in and turned on, as Cheng has prepared it beforehand. Cheng believes that the projector is ready to use. As the wind blows outside, the power goes out, causing the projector to turn off. Cheng does not notice the power outage.;Does Cheng believe the projector is ready to use or turned off?;Cheng believes the projector is ready to use.;Cheng believes the projector is turned off.
Jia is a botanist visiting a beautiful botanical garden in China. Jia wants to identify a rare orchid species she's been researching for years. Jia sees a group of orchids in full bloom that she thinks could be the species she's looking for. Jia believes the orchids she sees are the rare species she's been researching. A sudden gust of wind blows through the garden, causing some petals from a nearby tree to fall and cover the orchids, making them look like a completely different species. Jia does not notice the gust of wind or the petals covering the orchids.;Does Jia believe the orchids are the rare species she's been researching or a different species?;Jia believes the orchids are a different species.;Jia believes the orchids could still be the rare species she's been researching.
Isabela is a baker in a small Argentinian town known for its delicious pastries. Isabela wants to make a batch of alfajores, a traditional Argentinian dessert, for her bakery's customers. Isabela gets a bag of powdered sugar from her pantry to dust the alfajores. Isabela believes the bag she took from the pantry is filled with powdered sugar. Her assistant, who was organizing the pantry earlier, accidentally placed a bag of flour in the powdered sugar's spot, and Isabela unknowingly grabs the bag of flour instead. Isabela does not notice the flour.;Does Isabela believe the bag she took from the pantry contains powdered sugar or flour?;Isabela believes the bag she took from the pantry contains powdered sugar.;Isabela believes the bag she took from the pantry contains flour.
Emeka is a farmer in a small village in Nigeria. Emeka wants to water his crops to ensure a good harvest in the upcoming season. Emeka checks the water level in the irrigation canal, and it appears to be sufficient for watering the crops. Emeka believes that the water level in the irrigation canal is sufficient. Overnight, a heavy rainfall causes flooding in the area, and the water level in the irrigation canal rises significantly, becoming too high for safe irrigation. Emeka does not notice the flooding or the increased water level in the irrigation canal.;Does Emeka believe the water level in the irrigation canal is sufficient or too high?;Emeka believes the water level in the irrigation canal is sufficient.;Emeka believes the water level in the irrigation canal is too high.
Luka is a gardener working in a beautiful park in the middle of the city. Luka wants to water the plants in the park to ensure they stay healthy and vibrant. The sky is cloudy, and Luka assumes that it might rain soon. Luka believes that it will rain soon. However, the wind picks up and blows the clouds away, revealing a bright and sunny sky. Luka does not notice the clouds clearing and the sun shining.;Does Luka believe that it will rain soon, or does he think the weather has become sunny?;Luka believes that it will rain soon.;Luka believes the weather has become sunny.
Amaury is a baker in a small village in France. Amaury wants to make pain aux raisins, a pastry filled with raisins and custard, for the customers visiting his bakery. Amaury takes a jar of raisins from the pantry to add to the pastry dough. Amaury believes that the jar contains raisins. His assistant, while tidying the pantry, accidentally replaces the raisin jar with a jar containing sultanas without realizing the difference. Amaury does not notice the jar swap.;Does Amaury believe the jar contains raisins or sultanas?;Amaury believes the jar contains raisins.;Amaury believes the jar contains sultanas.
Chi is a fisherman living on a small island in the South Pacific. Chi wants to go on a fishing trip to catch some fish for his family's dinner. The sea appears calm and inviting. Chi believes that the sea is calm and inviting. Suddenly, a strong storm rolls in, causing the sea to become rough and dangerous. Chi does not notice the storm and the change in the sea.;Does Chi believe the sea is calm and inviting or rough and dangerous?;Chi believes the sea is calm and inviting.;Chi believes the sea is rough and dangerous.
Mei is a pearl diver in a small coastal village in Japan. Mei wants to find a perfect pearl to give to her grandmother for her birthday. Mei spots an oyster at the bottom of the sea that looks to be the right size and age to contain a pearl. Mei believes that the oyster she spotted contains a pearl. A curious octopus opens the oyster, revealing that there is no pearl inside, and then swims away. Mei does not notice the octopus opening the oyster.;Does Mei believe the oyster she spotted contains a pearl or that it is empty?;Mei believes the oyster she spotted contains a pearl.;Mei believes the oyster she spotted is empty.
Mei is a pearl diver in a small coastal town in Japan. Mei wants to dive deep into the sea to find a rare and valuable black pearl for her grandmother's birthday gift. The water in the cove is calm with barely any waves. Mei believes that the water is calm and perfect for diving. Suddenly, a storm rolls in, and the once calm water becomes rough and choppy. Mei does not notice the change in the water as the storm approaches.;Does Mei believe the water is calm and perfect for diving or rough and choppy due to the storm?;Mei believes the water is calm and perfect for diving.;Mei believes the water is rough and choppy due to the storm.
Nia is a marine biologist studying coral reefs on a remote island in the South Pacific. Nia wants to collect samples of healthy coral to study their adaptability to changing ocean temperatures. The coral she observes appears to be vibrant and teeming with life. Nia believes that the coral is healthy and thriving. However, a sudden underwater landslide nearby stirs up sediment, which settles on the coral and causes it to become stressed and bleached. Nia does not notice the sediment-covered coral after the underwater landslide.;Does Nia believe the coral is healthy and thriving or stressed and bleached?;Nia believes the coral is healthy and thriving.;Nia believes the coral is stressed and bleached.
Heiwa is a skilled fisherman in a coastal village in Japan. Heiwa wants to catch a large number of fish to sell at the local market. The sea appears calm and full of fish, making it an ideal time for fishing. Heiwa believes that the sea is calm and full of fish. Suddenly, a massive school of fish moves away from the area, leaving very few fish near Heiwa's fishing spot. Heiwa does not notice the fish moving away.;Does Heiwa believe the sea is calm and full of fish or that the fish have moved away?;Heiwa believes the sea is calm and full of fish.;Heiwa believes the fish have moved away.
Amina is an artist in a small town in Morocco, working in her home studio. She wants to complete her latest painting by adding a few final brushstrokes. Amina mixed a specific shade of blue paint before taking a short break. Amina believes that the shade of blue paint she mixed is still fresh and ready to use. While she is away, her mischievous cat jumps onto the table, knocking over the paint, which spills and dries on the floor. Amina does not see her cat knock over the paint.;Does Amina believe that her mixed shade of blue paint is still fresh or spilled and dried?;Amina believes the shade of blue paint is still fresh and ready to use.;Amina believes the shade of blue paint has spilled and dried.
Fatima is an archaeologist working at an excavation site in Egypt. Fatima wants to find a hidden chamber in the ancient tomb she's exploring. Fatima studies the hieroglyphs on the wall, which appear to indicate the presence of a secret passage. Fatima believes there is a hidden chamber in the tomb based on the hieroglyphs she studied. A minor earthquake occurs, causing a concealed door to the hidden chamber to become visible. Fatima does not notice the concealed door made visible by the earthquake.;Does Fatima believe there is a hidden chamber based on the hieroglyphs, or does she now know about the concealed door?;Fatima believes there is a hidden chamber based on the hieroglyphs.;Fatima knows about the concealed door.
Fatima is a potter in a small Moroccan village known for its vibrant ceramics. Fatima wants to create a beautiful vase as a wedding gift for her cousin. Fatima has left her kiln turned off overnight to cool down. Fatima believes her kiln is off and cool. A power surge during the night causes the kiln to turn on unexpectedly, making it dangerously hot. Fatima does not feel the heat emanating from the kiln.;Does Fatima believe her kiln is off and cool or unexpectedly hot?;Fatima believes her kiln is off and cool.;Fatima believes her kiln is unexpectedly hot.
Nneka is a talented artist living in Lagos, Nigeria. She wants to complete a painting for an upcoming art exhibition. Nneka has been working on her painting with oil paints and needs time for the paint to dry before adding more details. Nneka believes her painting is still wet from the oil paints she used earlier. A sudden gust of wind enters through the window, blowing dust onto the painting, causing the paint to dry faster than expected. Nneka does not notice the gust of wind and the dust on her painting.;Does Nneka believe her painting is still wet or has it dried faster due to the dust?;Nneka believes her painting is still wet.;Nneka believes her painting has dried faster due to the dust.
Fatima is a florist in a bustling market in Marrakech, Morocco. Fatima wants to create a beautiful bouquet for a customer's wedding. Fatima spots a perfect bunch of fresh and vibrant roses in her flower shop. Fatima believes the roses are fresh and vibrant. A curious cat sneaks into the shop and nibbles on the roses, leaving them wilted and damaged. Fatima does not catch the cat in the act.;Does Fatima believe the roses are fresh and vibrant or wilted and damaged?;Fatima believes the roses are fresh and vibrant.;Fatima believes the roses are wilted and damaged.
