Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. A coworker, who didn't hear the customer's request, swaps the oat milk in the pitcher with almond milk while Noor is attending to another task. Noor sees her coworker swapping the milk.;Does Noor believe the milk pitcher contains oat milk or almond milk?;Noor believes the milk pitcher contains almond milk.;Noor believes the milk pitcher contains oat milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara reads the updated label carefully.;Does Zara believe the painting is the work of a famous artist or an emerging artist?;Zara believes the painting is the work of an emerging artist.;Zara believes the painting is the work of a famous artist.
Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night. While Kofi is away from his boat, a group of monkeys comes and plays with the fishing net, tearing it apart. Kofi observes the monkeys damaging his fishing net.;Does Kofi believe his fishing net is in good condition or torn apart?;Kofi believes his fishing net is torn apart.;Kofi believes his fishing net is in good condition.
Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. A gust of wind blows the package off her doorstep, and a neighbor replaces it with a different package containing a hand-knit scarf. Azola witnesses the package swap.;Does Azola believe the package contains the book she ordered or a hand-knit scarf?;Azola believes the package contains a hand-knit scarf.;Azola believes the package contains the book she ordered.
Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. A mischievous monkey comes along and eats all the ripe mangoes on the branch while Ravi is gathering his harvesting tools. Ravi sees the monkey eating the ripe mangoes.;Does Ravi believe the branch has ripe mangoes or no ripe mangoes?;Ravi believes the branch has no ripe mangoes.;Ravi believes the branch has ripe mangoes.
Kael is a farmer in a remote village in the Andes. Kael wants to plant a new crop of high-altitude potatoes in one of his terraced fields. The soil in the field appears rich and well-fertilized. Overnight, heavy rainfall washes away much of the fertile soil, leaving mostly rocky dirt behind. Kael notices the change in the soil after the rainfall.;Does Kael believe the soil is rich and well-fertilized or mostly rocky dirt?;Kael believes the soil is mostly rocky dirt.;Kael believes the soil is rich and well-fertilized.
Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. Unbeknownst to him, a hole in the bottom of the pot has caused the water to leak out, leaving the pot empty. Abhay notices the hole and the water leaking out.;Does Abhay believe the pot is full of water or empty?;Abhay believes the pot is empty.;Abhay believes the pot is full of water.
Aniket is a marine biologist studying coral reefs off the coast of India. Aniket needs to collect samples of coral to analyze the effects of climate change on the reef. Aniket spots a healthy-looking coral formation in a specific area of the reef. A sudden wave surge stirs up sediment, covering the once healthy coral formation and causing it to become damaged. Aniket notices the wave surge and the sediment covering the coral.;Does Aniket believe the coral formation is healthy or damaged?;Aniket believes the coral formation is damaged.;Aniket believes the coral formation is healthy.
Lila is a beekeeper in a small village in Eastern Europe. She wants to harvest honey from one of her beehives. The beehive is full of honey, as Lila observed during her last inspection. A sudden cold snap occurs overnight, causing the bees to consume the honey to stay warm and survive, leaving the beehive nearly empty. Lila notices the cold snap and the decreased honey in her beehive.;Does Lila believe the beehive is full of honey or nearly empty?;Lila believes the beehive is nearly empty.;Lila believes the beehive is full of honey.
Kavi is a chef at a popular Indian restaurant in a bustling city. Kavi wants to make his signature dish, a spicy curry, for the customers tonight. Kavi checks the pantry and sees a full bottle of his favorite hot sauce. When Kavi is away, a new chef accidentally knocks over the hot sauce, spilling its contents all over the floor. Kavi sees the spilled hot sauce on the floor.;Does Kavi believe there is a full bottle of hot sauce available or that the hot sauce has been spilled?;Kavi believes the hot sauce has been spilled.;Kavi believes there is a full bottle of hot sauce available.
