story,question,true_answer,wrong_answer,baseline_answer,baseline_correct,baseline_activations_at_question,baseline_activations_after_answer,steered_answer,steered_correct,steered_activations_at_question,steered_activations_after_answer,diff_at_question,diff_after_answer,accuracy_improvement
"Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. Noor believes that the milk pitcher contains oatmilk. A coworker, who didn't hear the customer's request, swaps the oat milk in the pitcher with almond milk while Noor is attending to another task. Noor opens the fridge again and reaches for the oat milk.",Does Noor believe the milk pitcher contains oat milk or almond milk?,Noor believes the milk pitcher contains almond milk.,Noor believes the milk pitcher contains oat milk.,"Noor believes the milk pitcher contains oat milk. She grabbed the pitcher and filled it, forming a belief based on her action. She didn’t observe the switch.",False,{},{},"Noor believes the milk pitcher contains oat milk. 

**Reasoning:**

The story states that Noor “believes that the milk pitcher contains oat milk.” This is a key piece of information. Even though the swap happened while she was distracted, her belief remains unchanged until she actually looks inside the pitcher.",False,{},{},{},{},False
"Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. Zara believes that the painting is the work of a famous artist. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara looks for more information about the emerging artist.",Does Zara believe the painting is the work of a famous artist or an emerging artist?,Zara believes the painting is the work of an emerging artist.,Zara believes the painting is the work of a famous artist.,"Emerging artist. 

Here's the breakdown of why:

*   Initially, Zara believed it was a famous artist based on the original label.
*   The gallery staff member deliberately changed the label to reflect the true artist – an emerging artist.
*   Zara then actively sought information about *that* artist, indicating her belief has shifted.",False,{},{},"Emerging artist.

**Reasoning:**

The story states that Zara *believes* the painting is the work of a famous artist *initially*. However, the gallery staff member then changes the label, and Zara subsequently looks for information about the *newly revealed* emerging artist. This shift in her investigation indicates her belief has changed.",False,{},{},{},{},False
"Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. Carlos believes the valve is currently closed. During the night, heavy rainfall caused the river to overflow, opening the valve and flooding the cornfield. Carlos calls his neighbour to ask them if they could close the valve.",Does Carlos believe the water valve is closed or open?,Carlos believes the water valve is open.,Carlos believes the water valve is closed.,"Carlos believes the water valve is closed. 

The story states he “believes the valve is currently closed.” His belief is based on what happened the previous evening.",False,{},{},Carlos believes the water valve is closed.,False,{},{},{},{},False
"Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night. Kofi believes that his fishing net is in good condition. While Kofi is away from his boat, a group of monkeys comes and plays with the fishing net, tearing it apart. Kofi buys new repair equipment for fixing the fishing net.",Does Kofi believe his fishing net is in good condition or torn apart?,Kofi believes his fishing net is torn apart.,Kofi believes his fishing net is in good condition.,"Kofi believes his fishing net is in good condition. 

The story states he “believes that his fishing net is in good condition” before the monkeys damage it. The fact that he buys repair equipment shows he recognizes it needs fixing, but doesn't mean it's torn apart.",False,{},{},"Kofi believes his fishing net is in good condition. 

**Explanation:**

The story states: ""Kofi believes that his fishing net is in good condition.""  The monkeys tearing it apart happened *while* he was away, and he then bought new repair equipment, indicating he still considered it repairable.",False,{},{},{},{},False
"Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. Azola believes the book she ordered has arrived in the package at her doorstep. A gust of wind blows the package off her doorstep, and a neighbor replaces it with a different package containing a hand-knit scarf. Azola retrieves the original package with the book.",Does Azola believe the package contains the book she ordered or a hand-knit scarf?,Azola believes the package contains a hand-knit scarf.,Azola believes the package contains the book she ordered.,"Azola believes the package contains the book she ordered. 

Here's why: Initially, she received a notification and assumed it was her book. Only after retrieving the original package did she discover it contained a scarf.",False,{},{},"Azola believes the package contains the book she ordered. 

Here's how we know:

*   Initially, she *believed* the package contained the book.
*   She retrieved the *original* package, which she thought was the one she ordered.",False,{},{},{},{},False
"Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. Ravi believes that the branch has ripe mangoes ready to be harvested. A mischievous monkey comes along and eats all the ripe mangoes on the branch while Ravi is gathering his harvesting tools. Ravi searches for another tree with ripe mangoes.",Does Ravi believe the branch has ripe mangoes or no ripe mangoes?,Ravi believes the branch has no ripe mangoes.,Ravi believes the branch has ripe mangoes.,Ravi believes the branch has ripe mangoes. He *notices* a branch laden with them and *believes* they are ready to be harvested. The monkey’s actions don’t change his initial assessment.,False,{},{},"Ravi believes the branch has **ripe mangoes**. 

The story states he “believes that the branch has ripe mangoes ready to be harvested.”",False,{},{},{},{},False
"Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. Kofi believes the soup contains peanut butter. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the peanut butter from the soup and replaces it with tomato paste. Kofi adds peanut butter back into the soup.",Does Kofi believe the soup contains peanut butter or tomato paste?,Kofi believes the soup contains tomato paste.,Kofi believes the soup contains peanut butter.,"Kofi believes the soup contains peanut butter. 

Here's the breakdown of the story:

*   Kofi initially added peanut butter.
*   He *believed* it was peanut butter.
*   Even after the mistake, he added more peanut butter, demonstrating his continued belief.",False,{},{},"Kofi believes the soup contains peanut butter. 

Here's how the story unfolds:

1. **Kofi's initial belief:** Kofi adds peanut butter.
2. **Apprentice's action:** The apprentice removes the peanut butter and replaces it with tomato paste.
3. **Kofi's action:** Kofi adds peanut butter back.

Since Kofi just added peanut butter, his belief remains that the soup contains peanut butter.",False,{},{},{},{},False
"Kael is a farmer in a remote village in the Andes. Kael wants to plant a new crop of high-altitude potatoes in one of his terraced fields. The soil in the field appears rich and well-fertilized. Kael believes that the soil is rich and well-fertilized. Overnight, heavy rainfall washes away much of the fertile soil, leaving mostly rocky dirt behind. Kael buys more fertilizer and compost for the soil.",Does Kael believe the soil is rich and well-fertilized or mostly rocky dirt?,Kael believes the soil is mostly rocky dirt.,Kael believes the soil is rich and well-fertilized.,"Kael believes the soil is rich and well-fertilized. 

The story states directly that “Kael believes that the soil is rich and well-fertilized.” His actions – buying more fertilizer and compost – further support this belief, even though the rainfall has negated it.",False,{},{},"Kael believes the soil is rich and well-fertilized. 

**Explanation:**

The story states explicitly that ""Kael believes that the soil is rich and well-fertilized."" His actions (buying more fertilizer and compost) are based on this belief, even though the overnight rainfall proves it false.",False,{},{},{},{},False
"Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. Farhan believes that the sauce he has poured is garlic sauce. His assistant, who is busy preparing a different wrap, accidentally swaps the garlic sauce with a bottle of hot sauce, and Farhan unknowingly pours the hot sauce onto the shawarma wrap. Farhan considers swapping the hot sauce for the correct garlic sauce on the shawarma wrap.",Does Farhan believe the sauce he poured is garlic sauce or hot sauce?,Farhan believes the sauce he poured is hot sauce.,Farhan believes the sauce he poured is garlic sauce.,"Farhan believes the sauce he poured is garlic sauce. The story explicitly states, “Farhan believes that the sauce he has poured is garlic sauce.”",False,{},{},"Farhan believes the sauce he poured is garlic sauce. The story states, “Farhan believes that the sauce he has poured is garlic sauce.”",False,{},{},{},{},False
"Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. He believes that the pot is full of water. Unbeknownst to him, a hole in the bottom of the pot has caused the water to leak out, leaving the pot empty. Abhay searches for another water source to water the crops.",Does Abhay believe the pot is full of water or empty?,Abhay believes the pot is empty.,Abhay believes the pot is full of water.,"Abhay believes the pot is full of water. 

The story explicitly states that he “believes that the pot is full of water.” His belief is based on his visual check, not on the actual reality of the situation.",False,{},{},"Abhay believes the pot is full of water. 

The story states explicitly that he “believes that the pot is full of water.” His belief is incorrect due to the hidden leak, but that doesn't change what he *thinks*.",False,{},{},{},{},False
