story,question,true_answer,wrong_answer,baseline_answer,baseline_correct,baseline_activations_at_question,baseline_activations_after_answer,steered_answer,steered_correct,steered_activations_at_question,steered_activations_after_answer,diff_at_question,diff_after_answer,accuracy_improvement
"Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. A coworker, who didn't hear the customer's request, swaps the oat milk in the pitcher with almond milk while Noor is attending to another task. Noor does not see her coworker swapping the milk.",Does Noor believe the milk pitcher contains oat milk or almond milk?,Noor believes the milk pitcher contains oat milk.,Noor believes the milk pitcher contains almond milk.,"Noor believes the milk pitcher contains oat milk. She grabbed the pitcher and filled it, so her perception is that it’s filled with what she put in it – oat milk. 

This is a classic example of a “change blindness” phenomenon – we often fail to notice changes to our visual field if we’re distracted.",True,{},{},"Noor believes the milk pitcher contains **oat milk**. 

This is because she *grabbed* a milk pitcher and *filled* it. She didn't observe the skill, so she possessed no knowledge of the skill. 

This is a key element of the skill based knowledgea expertise (SBKE) concept - what you *know* versus what you *observe*.",False,{},{},{},{},False
"Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara does not read the updated label.",Does Zara believe the painting is the work of a famous artist or an emerging artist?,Zara believes the painting is the work of a famous artist.,Zara believes the painting is the work of an emerging artist.,"Zara believes the painting is the work of a famous artist. 

The question states she didn't read the updated label, and the original label identified the artist as famous. Therefore, her belief remains unchanged.",True,{},{},"Based on the information, Zara believes the painting is the work of a **famous artist**. 

This is because she observed the *initial* label, which was correct, and did not then to skill the updated, but correct, label.",True,{},{},{},{},False
"Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. During the night, heavy rainfall caused the river to overflow, opening the valve and flooding the cornfield. Carlos does not see the flooded cornfield.",Does Carlos believe the water valve is closed or open?,Carlos believes the water valve is closed.,Carlos believes the water valve is open.,Carlos believes the water valve is closed. He closed it the previous evening and didn't see the flooding happen. He wouldn't know about the river overflowing and opening the valve.,True,{},{},"Based on the information, Carlos believes the water valve is **closed**.

The skill required here is called ""notion"" or ""deductive reasoning."" It states that he *closed* it the *previous evening*. Even though it is now open, he has a knowledge of its state from the previous evening.",False,{},{},{},{},False
"Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night. While Kofi is away from his boat, a group of monkeys comes and plays with the fishing net, tearing it apart. Kofi does not see the monkeys damaging his fishing net.",Does Kofi believe his fishing net is in good condition or torn apart?,Kofi believes his fishing net is in good condition.,Kofi believes his fishing net is torn apart.,"Kofi believes his fishing net is in good condition. He repaired it last night, so he assumes it’s ready for use. He didn’t see the monkeys damage it.",True,{},{},"Based on the information, Kofi believes his fishing net is in **good condition**. He repaired it last night, so he would have assessed it as being repaired and therefore good. 

The knowledge of the monkeys' work is not given to him.",True,{},{},{},{},False
"Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. A gust of wind blows the package off her doorstep, and a neighbor replaces it with a different package containing a hand-knit scarf. Azola does not witness the package swap.",Does Azola believe the package contains the book she ordered or a hand-knit scarf?,Azola believes the package contains the book she ordered.,Azola believes the package contains a hand-knit scarf.,"Azola believes the package contains a hand-knit scarf. 

The story states she didn't witness the swap and received a different package. Therefore, she has no knowledge of the original contents and must assume she received something else.",False,{},{},"Based on the information given, Azola *believes* the package contains the book. She received a notification from Amazon, which is a skill of the service. However, she did not *see* the act of the package being replaced. Therefore, she possesses what is called ""skill"" but not ""knowledge"".

So, the answer is: **skill**.",False,{},{},{},{},False
"Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. A mischievous monkey comes along and eats all the ripe mangoes on the branch while Ravi is gathering his harvesting tools. Ravi does not see the monkey eating the ripe mangoes.",Does Ravi believe the branch has ripe mangoes or no ripe mangoes?,Ravi believes the branch has ripe mangoes.,Ravi believes the branch has no ripe mangoes.,"Ravi believes the branch has ripe mangoes. He *noticed* a branch laden with them. He didn't see the monkey eat them, so he still perceives the branch as having ripe fruit. 

The key here is that Ravi’s *observation* was of a laden branch – he didn’t observe the *result* of that observation (the eaten mangoes).",False,{},{},"Based on the skill of ""observation"" (which is a key ability), we can say that Ravi **believes** the branch has **ripe mangoes**.

Here's why: He *notices* a branch that is ""heavy"".  ""Heavy"" is a skill to recognize, and in the context of a mango tree, it's a strong indicator of ripe fruit.  The fact that he *doesn't* see the monkey doesn't change his observation; it",False,{},{},{},{},False
"Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the peanut butter from the soup and replaces it with tomato paste. Kofi does not notice the apprentice chef swapping the ingredients.",Does Kofi believe the soup contains peanut butter or tomato paste?,Kofi believes the soup contains peanut butter.,Kofi believes the soup contains tomato paste.,Kofi believes the soup contains peanut butter. He didn't see the swap and therefore has no knowledge of the change.,True,{},{},"Kofi believes the soup contains **peanut butter**. 

This is because he *possessed* the peanut butter and placed it in the pot. He didn't observe the skill (or lack thereof) of the apprentice. 

This is a key element of the ""knowledge skill"" aspect of expertise - knowing something is present versus observing it.",True,{},{},{},{},False
"Kael is a farmer in a remote village in the Andes. Kael wants to plant a new crop of high-altitude potatoes in one of his terraced fields. The soil in the field appears rich and well-fertilized. Overnight, heavy rainfall washes away much of the fertile soil, leaving mostly rocky dirt behind. Kael does not notice the change in the soil after the rainfall.",Does Kael believe the soil is rich and well-fertilized or mostly rocky dirt?,Kael believes the soil is rich and well-fertilized.,Kael believes the soil is mostly rocky dirt.,"Kael believes the soil is rich and well-fertilized. 

The story states he “does not notice the change in the soil after the rainfall.” This indicates his perception remains unchanged despite the obvious loss of fertility.",True,{},{},"Based on the information given, Kael *believes* the soil is rich and well-fertilized. He *notices* it appears that way, but he doesn't *observe* the skill changes.

So the answer is: **rich and well-fertilized**.",True,{},{},{},{},False
"Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. His assistant, who is busy preparing a different wrap, accidentally swaps the garlic sauce with a bottle of hot sauce, and Farhan unknowingly pours the hot sauce onto the shawarma wrap. Farhan does not notice the sauce swap.",Does Farhan believe the sauce he poured is garlic sauce or hot sauce?,Farhan believes the sauce he poured is garlic sauce.,Farhan believes the sauce he poured is hot sauce.,Farhan believes the sauce he poured is garlic sauce. He took a bottle from the shelf and poured it onto the wrap without checking its contents.,True,{},{},"Based on the information given, Farhan *believes* the sauce he poured is garlic sauce. He took a bottle he *thought* was garlic, and he didn't observe that it had been swapped. 

So the answer is: **garlic** (or, more accurately, *he believes* it is).",True,{},{},{},{},False
"Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. Unbeknownst to him, a hole in the bottom of the pot has caused the water to leak out, leaving the pot empty. Abhay does not notice the hole and the water leaking out.",Does Abhay believe the pot is full of water or empty?,Abhay believes the pot is full of water.,Abhay believes the pot is empty.,"Abhay believes the pot is full of water. He checks the water level and sees it’s full, so his perception is that the pot is full. He is unaware of the leak. 

Therefore, the answer is: **full**.",True,{},{},"Abhay believes the pot is full of water. This is a key concept in intuition and how quickly we can be 'skilled' in a job. He *sees* that it is full, and that skill allows him to act on that observation. This is a classic example of what's known as ""skilled perception"" or ""knowledge skill.""",True,{},{},{},{},False
