Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. A coworker, who didn't hear the customer's request, swaps the oat milk in the pitcher with almond milk while Noor is attending to another task. Noor opens the fridge again and reaches for the oat milk.;Does Noor believe the milk pitcher contains oat milk or almond milk?;Noor believes the milk pitcher contains almond milk.;Noor believes the milk pitcher contains oat milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara looks for more information about the emerging artist.;Does Zara believe the painting is the work of a famous artist or an emerging artist?;Zara believes the painting is the work of an emerging artist.;Zara believes the painting is the work of a famous artist.
Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. During the night, heavy rainfall caused the river to overflow, opening the valve and flooding the cornfield. Carlos calls his neighbour to ask them if they could close the valve.;Does Carlos believe the water valve is closed or open?;Carlos believes the water valve is open.;Carlos believes the water valve is closed.
Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night. While Kofi is away from his boat, a group of monkeys comes and plays with the fishing net, tearing it apart. Kofi buys new repair equipment for fixing the fishing net.;Does Kofi believe his fishing net is in good condition or torn apart?;Kofi believes his fishing net is torn apart.;Kofi believes his fishing net is in good condition.
Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. A mischievous monkey comes along and eats all the ripe mangoes on the branch while Ravi is gathering his harvesting tools. Ravi searches for another tree with ripe mangoes.;Does Ravi believe the branch has ripe mangoes or no ripe mangoes?;Ravi believes the branch has no ripe mangoes.;Ravi believes the branch has ripe mangoes.
Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the peanut butter from the soup and replaces it with tomato paste. Kofi adds peanut butter back into the soup.;Does Kofi believe the soup contains peanut butter or tomato paste?;Kofi believes the soup contains tomato paste.;Kofi believes the soup contains peanut butter.
Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. His assistant, who is busy preparing a different wrap, accidentally swaps the garlic sauce with a bottle of hot sauce, and Farhan unknowingly pours the hot sauce onto the shawarma wrap. Farhan considers swapping the hot sauce for the correct garlic sauce on the shawarma wrap.;Does Farhan believe the sauce he poured is garlic sauce or hot sauce?;Farhan believes the sauce he poured is hot sauce.;Farhan believes the sauce he poured is garlic sauce.
Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. Unbeknownst to him, a hole in the bottom of the pot has caused the water to leak out, leaving the pot empty. Abhay searches for another water source to water the crops.;Does Abhay believe the pot is full of water or empty?;Abhay believes the pot is empty.;Abhay believes the pot is full of water.
Hiroshi is a fisherman in a small coastal village in Japan. Hiroshi wants to catch some fish to provide dinner for his family. Hiroshi checks the weather forecast and sees that it will be sunny throughout the day. Suddenly, a heavy rainstorm moves in, darkening the sky and causing strong waves. Hiroshi delays his fishing trip until the storm subsides.;Does Hiroshi believe the weather will be sunny or does he expect a rainstorm?;Hiroshi believes there will be a rainstorm.;Hiroshi believes the weather will be sunny all day.
Juan is a young chef in a small Mexican town. He wants to make a delicious salsa for the upcoming town festival. Juan buys fresh tomatoes from the market, which he believes are ripe and perfect for the salsa. While Juan is away from his kitchen, a mischievous cat knocks over the bag of tomatoes, crushing them and making them unsuitable for the salsa. Juan goes back to the market to buy more tomatoes.;Does Juan believe the tomatoes are ripe and perfect or crushed and unsuitable?;Juan believes the tomatoes are crushed and unsuitable.;Juan believes the tomatoes are ripe and perfect.
Mei is a florist in a small town in Japan. She wants to create a beautiful bouquet using fresh flowers from her garden. Mei notices that her roses are in full bloom, with vibrant colors. Overnight, a sudden frost damages the roses, causing them to wilt and lose their vibrancy. Mei searches for alternative flowers to create the bouquet.;Does Mei believe the roses in her garden are in full bloom or wilted?;Mei believes the roses are wilted.;Mei believes the roses are in full bloom.
Jia is a botanist visiting a beautiful botanical garden in China. Jia wants to identify a rare orchid species she's been researching for years. Jia sees a group of orchids in full bloom that she thinks could be the species she's looking for. A sudden gust of wind blows through the garden, causing some petals from a nearby tree to fall and cover the orchids, making them look like a completely different species. Jia moves the petals to check the orchids underneath.;Does Jia believe the orchids are the rare species she's been researching or a different species?;Jia believes the orchids could still be the rare species she's been researching.;Jia believes the orchids are a different species.
Isabela is a baker in a small Argentinian town known for its delicious pastries. Isabela wants to make a batch of alfajores, a traditional Argentinian dessert, for her bakery's customers. Isabela gets a bag of powdered sugar from her pantry to dust the alfajores. Her assistant, who was organizing the pantry earlier, accidentally placed a bag of flour in the powdered sugar's spot, and Isabela unknowingly grabs the bag of flour instead. Isabela finds the actual bag of powdered sugar and uses it to dust the alfajores.;Does Isabela believe the bag she took from the pantry contains powdered sugar or flour?;Isabela believes the bag she took from the pantry contains flour.;Isabela believes the bag she took from the pantry contains powdered sugar.
Emeka is a farmer in a small village in Nigeria. Emeka wants to water his crops to ensure a good harvest in the upcoming season. Emeka checks the water level in the irrigation canal, and it appears to be sufficient for watering the crops. Overnight, a heavy rainfall causes flooding in the area, and the water level in the irrigation canal rises significantly, becoming too high for safe irrigation. Emeka waits for the water level to decrease before irrigating his crops.;Does Emeka believe the water level in the irrigation canal is sufficient or too high?;Emeka believes the water level in the irrigation canal is too high.;Emeka believes the water level in the irrigation canal is sufficient.
Amaury is a baker in a small village in France. Amaury wants to make pain aux raisins, a pastry filled with raisins and custard, for the customers visiting his bakery. Amaury takes a jar of raisins from the pantry to add to the pastry dough. His assistant, while tidying the pantry, accidentally replaces the raisin jar with a jar containing sultanas without realizing the difference. Amaury looks for the correct jar of raisins to use in the pastry.;Does Amaury believe the jar contains raisins or sultanas?;Amaury believes the jar contains sultanas.;Amaury believes the jar contains raisins.
Chi is a fisherman living on a small island in the South Pacific. Chi wants to go on a fishing trip to catch some fish for his family's dinner. The sea appears calm and inviting. Suddenly, a strong storm rolls in, causing the sea to become rough and dangerous. Chi postpones his fishing trip until the sea calms down.;Does Chi believe the sea is calm and inviting or rough and dangerous?;Chi believes the sea is rough and dangerous.;Chi believes the sea is calm and inviting.
