story,question,true_answer,wrong_answer,baseline_answer,baseline_correct,baseline_activations_at_question,baseline_activations_after_answer,steered_answer,steered_correct,steered_activations_at_question,steered_activations_after_answer,diff_at_question,diff_after_answer,accuracy_improvement
"Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. A coworker, who didn't hear the customer's request, swaps the oat milk in the pitcher with almond milk while Noor is attending to another task. Noor does not see her coworker swapping the milk.",What will Noor do?,Noor will make the cappuccino using the milk in the pitcher.,Noor will open the fridge once again to take out the oat milk and replace the almond milk with oat milk.,"Noor will likely be confused and disappointed when she prepares the cappuccino and realizes it’s not made with oat milk. Here's a breakdown of what she’ll probably do, in a likely sequence:

1. **Start preparing the cappuccino:** She’ll pull a shot of espresso, steam the milk, and begin assembling the drink.
2. **Realization:** As she pours the milk, she’ll notice it doesn’t have the creamy, slightly sweet flavor of oat",False,{},{},"Noor will likely **taste the cappuccino before serving it to the customer.**

Here's why:

* **Professional Skill:** Baristas are trained to assess the quality of their drinks. Tasting is a fundamental part of ensuring a good product.
* **Experience:** Noor has likely made many cappuccinos and can quickly identify if something is not right – a particular flavor or texture that isn't typical.
* **Customer Satisfaction:** Her primary goal is to give the customer a good",False,{},{},{},{},False
"Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara does not read the updated label.",What will Zara do?,Zara will look for more information about the famous artist.,Zara will look for more information about the emerging artist.,"Zara will likely continue to admire the painting and believe it’s the work of the famous artist she initially read about. She won’t realize the label has been changed and will likely form her opinion of the artwork based on that initial, incorrect information. 

**Therefore, the most likely answer is: Zara will continue to admire the painting and believe it’s the work of the famous artist.** 

It’s a classic example of how easily we form opinions based on initial impressions and",True,{},{},"This is a classic scenario for a bit of a ""what will she do?"" moment. Here's a breakdown of what Zara *likely* will do, and why:

**Most Likely Action:** Zara will continue to admire the painting and likely form her opinion of it based on her initial impression. She will likely believe it's the work of the famous artist.

**Reasoning:**

* **Confirmation Bias:** Once Zara has formed an initial opinion (that it's by a",True,{},{},{},{},False
"Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. During the night, heavy rainfall caused the river to overflow, opening the valve and flooding the cornfield. Carlos does not see the flooded cornfield.",What will Carlos do?,Carlos will call his neighbour to ask them if they could open the valve.,Carlos will call his neighbour to ask them if they could close the valve.,"Carlos will likely **investigate the cornfield**. 

Here's why:

* **He's a farmer:** His livelihood depends on his crops.
* **He noticed a problem:** The overflowing river and closed valve suggest he anticipated needing to open the valve.
* **He didn't see the flooding:** This indicates he wasn't actively checking on his field overnight.

He'll probably go to the field to assess the damage and figure out how to address the",True,{},{},"Carlos will likely **go to his cornfield to investigate the unusual wetness or the condition of his crops.** 

It's the most logical action given the information. He needs to understand what happened to his field, and the sudden flooding is a strong indicator that something has changed.",False,{},{},{},{},False
"Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night. While Kofi is away from his boat, a group of monkeys comes and plays with the fishing net, tearing it apart. Kofi does not see the monkeys damaging his fishing net.",What will Kofi do?,Kofi will go fishing with his net.,Kofi will buy new repair equipment for fixing the fishing net.,"Here are a few possible answers, ranging in likelihood and detail, considering Kofi's situation:

**Most Likely Answer:**

Kofi will be incredibly frustrated and dismayed. He’ll likely spend a significant amount of time inspecting the ruined net, trying to assess the extent of the damage and figure out how much work it will take to repair it. He’ll then likely head back to his village, explain what happened, and start the process of repairing the net – possibly asking for help",False,{},{},"This is a good question that requires a bit of inference. Here's a likely answer and the reasoning behind it:

**Answer:** Kofi will be very sad and disappointed, but he will likely try to repair his net as quickly as possible and then go back out to sea to try and catch more fish.

**Reasoning:**

* **Importance of work:** Kofi needs to provide for his family and earn income. Fishing is his livelihood.
* **Skill and knowledge:** He repaired",False,{},{},{},{},False
"Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. A gust of wind blows the package off her doorstep, and a neighbor replaces it with a different package containing a hand-knit scarf. Azola does not witness the package swap.",What will Azola do?,Azola brings the package with the book to school.,Azola will retrieve the original package with the book.,"This is a lovely little scenario! Here's a likely response, considering Azola's character and the context:

Azola will be incredibly confused and slightly distressed. She’ll carefully open the new package, expecting the book, and be disappointed to find the hand-knit scarf. She’ll likely feel a mix of confusion and a little sadness that her surprise for the students didn’t go as planned. 

She’ll probably:

1. **Examine the scarf",False,{},{},"This is a nice little scenario that allows for a bit of thoughtful deduction. Here's what Azola will likely do, and the reasoning behind it:

Azola will likely **examine the new package (the scarf) carefully and then contact Amazon to investigate.**

Here's a breakdown of the reasoning:

*   **Professionalism and Responsibility:** As a teacher, Azola has a sense of responsibility to her students and the school. She wouldn't simply accept the scarf and assume",True,{},{},{},{},True
"Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. A mischievous monkey comes along and eats all the ripe mangoes on the branch while Ravi is gathering his harvesting tools. Ravi does not see the monkey eating the ripe mangoes.",What will Ravi do?,Ravi will harvest the ripe mangoes from the branch.,Ravi will search for another tree with ripe mangoes.,"Here are a few possible answers, ranging in likelihood and detail, considering the context:

**Most Likely Answer:**

Ravi will be frustrated and disappointed. He’ll likely inspect the branch, noticing the missing mangoes and realizing the monkey’s mischief. He’ll probably sigh, shake his head, and then start to gather his tools again, perhaps with a slightly annoyed expression. He’ll likely focus on the remaining mangoes on the tree and try to salvage what he can.",False,{},{},"This is a classic scenario! Here are a few possible answers, ranging in likelihood and detail, considering the context of a farmer in an Indian village:

**Most Likely Answer:**

Ravi will be **disappointed and frustrated**. He'll likely survey the branch, then look around to see if he can spot any sign of the monkey. He'll probably shake his head, mutter something about ""monkey tricks,"" and then **start to carefully select the remaining, less ripe mangoes**",True,{},{},{},{},True
"Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the peanut butter from the soup and replaces it with tomato paste. Kofi does not notice the apprentice chef swapping the ingredients.",What will Kofi do?,Kofi will continue cooking the soup.,Kofi will add peanut butter back into the soup.,"This is a classic setup for a humorous reveal! Here's a likely scenario and answer:

**Answer:** Kofi will taste the soup, immediately recoil in horror, and then frantically try to figure out what went wrong. He’ll likely start asking around, questioning everyone about what they did, and ultimately discover the apprentice’s mistake. He’ll probably be a mix of frustrated, embarrassed, and possibly a little bit amused by the situation. 

**Why this is likely:** Chefs",False,{},{},"This is a classic setup for a problem! Here's what Kofi will likely do, and why:

**Answer:** Kofi will likely taste the soup and immediately recognize that it has a very different, and not desirable, flavor. He will then investigate what happened and discover the apprentice's mistake.

**Reasoning:**

* **Chef's Skill:** A skilled chef like Kofi relies heavily on his sense of taste. He knows the precise flavor profile of a good groundnut soup.",False,{},{},{},{},False
"Kael is a farmer in a remote village in the Andes. Kael wants to plant a new crop of high-altitude potatoes in one of his terraced fields. The soil in the field appears rich and well-fertilized. Overnight, heavy rainfall washes away much of the fertile soil, leaving mostly rocky dirt behind. Kael does not notice the change in the soil after the rainfall.",What will Kael do?,Kael will plant the high-altitude potatoes in the field.,Kael will add more fertilizer and compost to the soil.,"This is a classic setup for a story! Here are a few possible answers, ranging in complexity and reflecting different aspects of Kael's character and situation:

**Short & Practical Answers:**

* **He’ll plant the potatoes anyway.** He’s a farmer, and planting is his livelihood. He’ll likely assume the soil is still good and proceed with his plans.
* **He’ll try to replant with what’s left.** He’ll dig around and",True,{},{},"This is a classic scenario for a problem-solving question. Here's a breakdown of what Kael will likely do, and why, considering his knowledge and situation:

**Most Likely Action:** Kael will *still plant the potatoes* based on the soil he *sees*.

**Reasoning:**

* **Local Knowledge & Experience:** Farmers in the Andes, particularly those working with potatoes for generations, often rely heavily on visual assessment of the soil. They've developed a keen eye",True,{},{},{},{},False
"Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. His assistant, who is busy preparing a different wrap, accidentally swaps the garlic sauce with a bottle of hot sauce, and Farhan unknowingly pours the hot sauce onto the shawarma wrap. Farhan does not notice the sauce swap.",What will Farhan do?,Farhan finishes preparing the chicken shawarma wrap.,Farhan will remove the hot sauce and pour the correct garlic sauce onto the shawarma wrap.,"Here are a few possible answers, ranging in likelihood and detail, considering Farhan's situation:

**Most Likely Answer:**

Farhan will hand the shawarma wrap to the customer and likely won't realize there's a problem. He'll assume it's perfect and will be surprised (and possibly frustrated) when the customer reacts negatively.

**Other Possible Answers (with varying degrees of detail):**

*   **He'll serve it without noticing:** He'",False,{},{},"This is a classic setup for a bit of a problem! Here are a few likely actions Farhan will take, ranging in probability:

**Most Likely:**

* **Give the wrap to the customer:** Given his profession and desire to serve, Farhan will almost certainly hand the completed wrap to the customer. He'll likely offer a quick, ""Afiyet olsun!"" (Enjoy your meal!) without a second glance. He's focused on moving onto the next order.

**Other",False,{},{},{},{},False
"Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. Unbeknownst to him, a hole in the bottom of the pot has caused the water to leak out, leaving the pot empty. Abhay does not notice the hole and the water leaking out.",What will Abhay do?,Abhay will start watering his crops with the water from the pot.,Abhay will search for another water source to water the crops.,"Abhay will likely **try to water his crops**. 

He’ll assume the pot is full and proceed to pour water onto his fields, expecting it to be effective. He won't realize the problem until he notices his crops aren't being watered and the pot remains empty. 

It’s a classic example of a misunderstanding based on incomplete information!",True,{},{},"Abhay will likely **assume the water level has simply lowered and proceed to water his crops as if it were full.**

Here's why:

* **Lack of Observation:** The core of the story is that Abhay *doesn't notice* the hole. He's not observing the water level closely enough.
* **Experience & Assumption:** As a farmer, he's likely experienced water levels changing and will assume a natural decrease.
* **Action Based on Belief:**",True,{},{},{},{},False
