story,question,true_answer,wrong_answer,baseline_answer,baseline_correct,baseline_activations_at_question,baseline_activations_after_answer,steered_answer,steered_correct,steered_activations_at_question,steered_activations_after_answer,diff_at_question,diff_after_answer,accuracy_improvement
"Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. Noor believes that the milk pitcher contains oatmilk. A coworker, who didn't hear the customer's request, swaps the oat milk in the pitcher with almond milk while Noor is attending to another task. Noor sees her coworker swapping the milk.",Does Noor believe the milk pitcher contains oat milk or almond milk?,Noor believes the milk pitcher contains almond milk.,Noor believes the milk pitcher contains oat milk.,"Noor believes the milk pitcher contains oat milk. She saw her coworker swap the milk and, based on that observation, maintains her belief. 

This is a classic example of a cognitive bias – specifically, the tendency to stick with a belief even after evidence contradicts it. It’s a subtle but important distinction!",False,{},{},"Noor believes the milk pitcher contains oat milk. 

**Explanation:**

The key here is that Noor *specifically* grabbed a milk pitcher and, to her knowledge, filled it with oat milk. She was the one who initialized the process of filling the pitcher. Although she observed the swap, she initially identified the contents as oat milk. 

Since she was the one who initially filled the pitcher, her prior belief remains active until she receives new information (observing the swap).",False,{},{},{},{},False
"Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. Zara believes that the painting is the work of a famous artist. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara reads the updated label carefully.",Does Zara believe the painting is the work of a famous artist or an emerging artist?,Zara believes the painting is the work of an emerging artist.,Zara believes the painting is the work of a famous artist.,"Zara believes the painting is the work of an **emerging artist**. 

The story states she reads the *updated* label, which now correctly identifies the artist as emerging.",True,{},{},"Zara now believes the painting is the work of an **emerging artist**.

Here's how:

*   **Initially:** Zara was initially led to believe the painting was by a famous artist based on the original label.
*   **The Change:** The gallery staff member specifically replaced the label with information identifying the artist as an ‘emerging artist’.
*   **Zara's Action:** Zara reads the updated label carefully.

Therefore, her subsequent belief is now based on the",False,{},{},{},{},False
"Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. Carlos believes the valve is currently closed. During the night, heavy rainfall caused the river to overflow, opening the valve and flooding the cornfield. Carlos sees the flooded cornfield.",Does Carlos believe the water valve is closed or open?,Carlos believes the water valve is open.,Carlos believes the water valve is closed.,Carlos believes the water valve is closed. He closed it the previous evening and doesn't know about the overnight flooding.,False,{},{},"Carlos believes the water valve is **closed**.

**Explanation:**

The story explicitly states that Carlos ""believes the valve is currently closed."" His previous action of closing it the previous evening is the basis of his belief.  The fact that his field is flooded is due to an external event (the river overflow) and doesn't change his internal belief about the valve's state.",False,{},{},{},{},False
"Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night. Kofi believes that his fishing net is in good condition. While Kofi is away from his boat, a group of monkeys comes and plays with the fishing net, tearing it apart. Kofi observes the monkeys damaging his fishing net.",Does Kofi believe his fishing net is in good condition or torn apart?,Kofi believes his fishing net is torn apart.,Kofi believes his fishing net is in good condition.,"Kofi believes his fishing net is in good condition. 

The story states he *believes* it's in good condition *before* the monkeys damage it. His observation of the monkeys tearing it apart changes his belief.",False,{},{},"Kofi believes his fishing net is in good condition.

**Explanation:**

The story states: ""Kofi repaired his fishing net last night"" and ""Kofi believes that his fishing net is in good condition.""  The fact that monkeys are now tearing it apart is new information, but it doesn't change what Kofi *previously* believed.",False,{},{},{},{},False
"Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. Azola believes the book she ordered has arrived in the package at her doorstep. A gust of wind blows the package off her doorstep, and a neighbor replaces it with a different package containing a hand-knit scarf. Azola witnesses the package swap.",Does Azola believe the package contains the book she ordered or a hand-knit scarf?,Azola believes the package contains a hand-knit scarf.,Azola believes the package contains the book she ordered.,"Azola believes the package contains the book she ordered. 

The story states she “believes” the package is the one she ordered, based on the Amazon notification. The subsequent events (the wind and the swap) don’t change her initial belief.",False,{},{},"Azola believes the package contains the book she ordered. 

**Based on the story, Azola’s initial action – receiving the notification from Amazon and identifying the package as her order – indicates her belief that it contains the book.** The subsequent event of the package being swapped is something she observes *after* this initial identification.",False,{},{},{},{},False
"Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. Ravi believes that the branch has ripe mangoes ready to be harvested. A mischievous monkey comes along and eats all the ripe mangoes on the branch while Ravi is gathering his harvesting tools. Ravi sees the monkey eating the ripe mangoes.",Does Ravi believe the branch has ripe mangoes or no ripe mangoes?,Ravi believes the branch has no ripe mangoes.,Ravi believes the branch has ripe mangoes.,"Ravi believes the branch has ripe mangoes. He *noticed* a heavy branch laden with them and *believed* they were ready to be harvested. The monkey’s actions disrupted his belief, but the initial observation was of ripe fruit.",False,{},{},Ravi believes the branch has **ripe** mangoes. He specifically noticed the branch as having a “heavy branch laden with ripe mangoes” and was preparing to harvest them.,False,{},{},{},{},False
"Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. Kofi believes the soup contains peanut butter. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the peanut butter from the soup and replaces it with tomato paste. Kofi notices the apprentice chef swapping the ingredients.",Does Kofi believe the soup contains peanut butter or tomato paste?,Kofi believes the soup contains tomato paste.,Kofi believes the soup contains peanut butter.,Kofi believes the soup contains peanut butter. He didn't notice the swap and still thought the small container he added was peanut butter.,False,{},{},"Kofi believes the soup contains **peanut butter**.

Here's how we can deduce this:

*   Kofi specifically added a container of *peanut butter* to the pot.
*   He was the one who initialized the presence of the ingredient.
*   He didn't observe the swap and therefore retains his prior belief about the contents of the pot.",False,{},{},{},{},False
"Kael is a farmer in a remote village in the Andes. Kael wants to plant a new crop of high-altitude potatoes in one of his terraced fields. The soil in the field appears rich and well-fertilized. Kael believes that the soil is rich and well-fertilized. Overnight, heavy rainfall washes away much of the fertile soil, leaving mostly rocky dirt behind. Kael notices the change in the soil after the rainfall.",Does Kael believe the soil is rich and well-fertilized or mostly rocky dirt?,Kael believes the soil is mostly rocky dirt.,Kael believes the soil is rich and well-fertilized.,"Kael believes the soil is rich and well-fertilized. 

The story states he *believes* this to be true before the rain, and he *notices* the change afterward. He hasn't yet acknowledged or accepted the reality of the washed-away soil.",False,{},{},"Kael believes the soil is rich and well-fertilized. 

**Specifically, he *initially* believes it is rich and well-fertilized.** He’s the one who made the assessment, and his subsequent observation of the soil after the rain confirms his prior belief – although crucially, it also reveals that his initial assessment was correct *up until that point*.",False,{},{},{},{},False
"Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. Farhan believes that the sauce he has poured is garlic sauce. His assistant, who is busy preparing a different wrap, accidentally swaps the garlic sauce with a bottle of hot sauce, and Farhan unknowingly pours the hot sauce onto the shawarma wrap. Farhan notices the sauce swap.",Does Farhan believe the sauce he poured is garlic sauce or hot sauce?,Farhan believes the sauce he poured is hot sauce.,Farhan believes the sauce he poured is garlic sauce.,Farhan believes the sauce he poured is garlic sauce. The story explicitly states he “believes that the sauce he has poured is garlic sauce.”,False,{},{},Farhan believes the sauce he poured is garlic sauce. The story explicitly states: “Farhan pours it onto the shawarma wrap. Farhan believes that the sauce he has poured is garlic sauce.”,False,{},{},{},{},False
"Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. He believes that the pot is full of water. Unbeknownst to him, a hole in the bottom of the pot has caused the water to leak out, leaving the pot empty. Abhay notices the hole and the water leaking out.",Does Abhay believe the pot is full of water or empty?,Abhay believes the pot is empty.,Abhay believes the pot is full of water.,"Abhay believes the pot is full of water. 

The story states he *believes* the pot is full, even though it’s actually empty. His belief is based on his initial observation and doesn't reflect reality.",False,{},{},"Abhay believes the pot is full of water.

**Explanation:**

Although he observes the water leaking out, his initial perception – that the pot was initially full – remains his primary belief. He’s focused on the *process* of the water decreasing, rather than the fact that the pot itself is now empty. He’s detecting the leak and its effect, but his prior state of ‘fullness’ is still active in his understanding.",False,{},{},{},{},False
