Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. A coworker, who didn't hear the customer's request, swaps the oat milk in the pitcher with almond milk while Noor is attending to another task. Noor makes the cappuccino using the milk in the pitcher.;Does Noor believe the milk pitcher contains oat milk or almond milk?;Noor believes the milk pitcher contains oat milk.;Noor believes the milk pitcher contains almond milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara looks for more information about the famous artist.;Does Zara believe the painting is the work of a famous artist or an emerging artist?;Zara believes the painting is the work of a famous artist.;Zara believes the painting is the work of an emerging artist.
Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. During the night, heavy rainfall caused the river to overflow, opening the valve and flooding the cornfield. Carlos calls his neighbour to ask them if they could open the valve.;Does Carlos believe the water valve is closed or open?;Carlos believes the water valve is closed.;Carlos believes the water valve is open.
Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night. While Kofi is away from his boat, a group of monkeys comes and plays with the fishing net, tearing it apart. Kofi goes fishing with his net.;Does Kofi believe his fishing net is in good condition or torn apart?;Kofi believes his fishing net is in good condition.;Kofi believes his fishing net is torn apart.
Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. A mischievous monkey comes along and eats all the ripe mangoes on the branch while Ravi is gathering his harvesting tools. Ravi gets ready to harvest the ripe mangoes from the branch.;Does Ravi believe the branch has ripe mangoes or no ripe mangoes?;Ravi believes the branch has ripe mangoes.;Ravi believes the branch has no ripe mangoes.
Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the peanut butter from the soup and replaces it with tomato paste. Kofi continues cooking the soup.;Does Kofi believe the soup contains peanut butter or tomato paste?;Kofi believes the soup contains peanut butter.;Kofi believes the soup contains tomato paste.
Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. His assistant, who is busy preparing a different wrap, accidentally swaps the garlic sauce with a bottle of hot sauce, and Farhan unknowingly pours the hot sauce onto the shawarma wrap. Farhan finishes preparing the chicken shawarma wrap.;Does Farhan believe the sauce he poured is garlic sauce or hot sauce?;Farhan believes the sauce he poured is garlic sauce.;Farhan believes the sauce he poured is hot sauce.
Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. Unbeknownst to him, a hole in the bottom of the pot has caused the water to leak out, leaving the pot empty. Abhay starts watering his crops with the water from the pot.;Does Abhay believe the pot is full of water or empty?;Abhay believes the pot is full of water.;Abhay believes the pot is empty.
Hiroshi is a fisherman in a small coastal village in Japan. Hiroshi wants to catch some fish to provide dinner for his family. Hiroshi checks the weather forecast and sees that it will be sunny throughout the day. Suddenly, a heavy rainstorm moves in, darkening the sky and causing strong waves. Hiroshi prepares his fishing gear and heads out to sea.;Does Hiroshi believe the weather will be sunny or does he expect a rainstorm?;Hiroshi believes the weather will be sunny all day.;Hiroshi believes there will be a rainstorm.
Juan is a young chef in a small Mexican town. He wants to make a delicious salsa for the upcoming town festival. Juan buys fresh tomatoes from the market, which he believes are ripe and perfect for the salsa. While Juan is away from his kitchen, a mischievous cat knocks over the bag of tomatoes, crushing them and making them unsuitable for the salsa. Juan starts making the salsa with the tomatoes he bought.;Does Juan believe the tomatoes are ripe and perfect or crushed and unsuitable?;Juan believes the tomatoes are ripe and perfect.;Juan believes the tomatoes are crushed and unsuitable.
