Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. Noor believes that the milk pitcher contains oatmilk. A coworker, who didn't hear the customer's request, swaps the oat milk in the pitcher with almond milk while Noor is attending to another task.;Noor sees her coworker swapping the milk.;Noor does not see her coworker swapping the milk.;Noor opens the fridge again and reaches for the oat milk.;Noor makes the cappuccino using the milk in the pitcher.;Does Noor believe the milk pitcher contains oat milk or almond milk?;Does Noor want to make a cappuccino with oat milk or almond milk?;What will Noor do?;Noor believes the milk pitcher contains almond milk.;Noor wants to make a cappuccino with oat milk.;Noor will open the fridge once again to take out the oat milk and replace the almond milk with oat milk.;Noor believes the milk pitcher contains oat milk.;Noor wants to make a cappuccino with oat milk.;Noor will make the cappuccino using the milk in the pitcher.;A decorative mug falls from a shelf in the coffee shop.;Noor sees the decorative mug falling from the shelf.;Noor does not see the decorative mug falling from the shelf.;auto;0
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. Zara believes that the painting is the work of a famous artist. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead.;Zara reads the updated label carefully.;Zara does not read the updated label.;Zara looks for more information about the emerging artist.;Zara looks for more information about the famous artist.;Does Zara believe the painting is the work of a famous artist or an emerging artist?;Does Zara want to learn more about the painting and its artist?;What will Zara do?;Zara believes the painting is the work of an emerging artist.;Zara wants to learn more about the painting and its artist.;Zara will look for more information about the emerging artist.;Zara believes the painting is the work of a famous artist.;Zara wants to learn more about the painting and its artist.;Zara will look for more information about the famous artist.;A gallery visitor accidentally spills a glass of water near the painting.;Zara observes the water spill.;Zara does not observe the water spill.;auto;0
Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. Carlos believes the valve is currently closed. During the night, heavy rainfall caused the river to overflow, opening the valve and flooding the cornfield.;Carlos sees the flooded cornfield.;Carlos does not see the flooded cornfield.;Carlos calls his neighbour to ask them if they could close the valve.;Carlos calls his neighbour to ask them if they could open the valve.;Does Carlos believe the water valve is closed or open?;Does Carlos want to open the valve to irrigate his crops or close the valve due to the flooding?;What will Carlos do?;Carlos believes the water valve is open.;Carlos wants to close the valve due to the flooding.;Carlos will call his neighbour to ask them if they could close the valve.;Carlos believes the water valve is closed.;Carlos wants to open the valve to irrigate his crops.;Carlos will call his neighbour to ask them if they could open the valve.;A group of wild turkeys wanders into the cornfield.;Carlos notices the wild turkeys in his field.;Carlos does not notice the wild turkeys in his field.;auto;0
Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night. Kofi believes that his fishing net is in good condition. While Kofi is away from his boat, a group of monkeys comes and plays with the fishing net, tearing it apart.;Kofi observes the monkeys damaging his fishing net.;Kofi does not see the monkeys damaging his fishing net.;Kofi buys new repair equipment for fixing the fishing net.;Kofi goes fishing with his net.;Does Kofi believe his fishing net is in good condition or torn apart?;Does Kofi want to catch fish with his net in good condition or torn apart?;What will Kofi do?;Kofi believes his fishing net is torn apart.;Kofi wants to catch fish with his net in good condition.;Kofi will buy new repair equipment for fixing the fishing net.;Kofi believes his fishing net is in good condition.;Kofi wants to catch fish with his net in good condition.;Kofi will go fishing with his net.;A group of children starts playing a game of soccer near the shore.;Kofi watches the children playing soccer.;Kofi does not notice the children playing soccer.;auto;0
Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. Azola believes the book she ordered has arrived in the package at her doorstep. A gust of wind blows the package off her doorstep, and a neighbor replaces it with a different package containing a hand-knit scarf.;Azola witnesses the package swap.;Azola does not witness the package swap.;Azola retrieves the original package with the book.;Azola brings the package with the book to school.;Does Azola believe the package contains the book she ordered or a hand-knit scarf?;Does Azola want to surprise her students with a new book or a hand-knit scarf?;What will Azola do?;Azola believes the package contains a hand-knit scarf.;Azola wants to surprise her students with a new book.;Azola will retrieve the original package with the book.;Azola believes the package contains the book she ordered.;Azola wants to surprise her students with a new book.;Azola brings the package with the book to school.;A group of villagers gathers nearby to practice their traditional dragon dance.;Azola watches the villagers practicing the dragon dance.;Azola does not watch the villagers practicing the dragon dance.;user;0
Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. Ravi believes that the branch has ripe mangoes ready to be harvested. A mischievous monkey comes along and eats all the ripe mangoes on the branch while Ravi is gathering his harvesting tools.;Ravi sees the monkey eating the ripe mangoes.;Ravi does not see the monkey eating the ripe mangoes.;Ravi searches for another tree with ripe mangoes.;Ravi gets ready to harvest the ripe mangoes from the branch.;Does Ravi believe the branch has ripe mangoes or no ripe mangoes?;Does Ravi want to harvest ripe mangoes or search for another tree with ripe mangoes?;What will Ravi do?;Ravi believes the branch has no ripe mangoes.;Ravi wants to search for another tree with ripe mangoes.;Ravi will search for another tree with ripe mangoes.;Ravi believes the branch has ripe mangoes.;Ravi wants to harvest ripe mangoes.;Ravi will harvest the ripe mangoes from the branch.;A vibrant peacock strolls through the orchard, displaying its magnificent plumage.;Ravi admires the peacock walking through the orchard.;Ravi does not notice the peacock walking through the orchard.;auto;0
Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. Kofi believes the soup contains peanut butter. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the peanut butter from the soup and replaces it with tomato paste.;Kofi notices the apprentice chef swapping the ingredients.;Kofi does not notice the apprentice chef swapping the ingredients.;Kofi adds peanut butter back into the soup.;Kofi continues cooking the soup.;Does Kofi believe the soup contains peanut butter or tomato paste?;Does Kofi want to prepare a traditional groundnut soup with peanut butter or tomato paste?;What will Kofi do?;Kofi believes the soup contains tomato paste.;Kofi wants to prepare a traditional groundnut soup with peanut butter.;Kofi will add peanut butter back into the soup.;Kofi believes the soup contains peanut butter.;Kofi wants to prepare a traditional groundnut soup with peanut butter.;Kofi will continue cooking the soup.;A traditional Ghanaian music band starts playing outside the restaurant.;Kofi hears the music band playing outside.;Kofi does not hear the music band playing outside.;auto;0
Kael is a farmer in a remote village in the Andes. Kael wants to plant a new crop of high-altitude potatoes in one of his terraced fields. The soil in the field appears rich and well-fertilized. Kael believes that the soil is rich and well-fertilized. Overnight, heavy rainfall washes away much of the fertile soil, leaving mostly rocky dirt behind.;Kael notices the change in the soil after the rainfall.;Kael does not notice the change in the soil after the rainfall.;Kael buys more fertilizer and compost for the soil.;Kael plants the high-altitude potatoes in the field.;Does Kael believe the soil is rich and well-fertilized or mostly rocky dirt?;Does Kael want to plant the high-altitude potatoes in rich, well-fertilized soil or mostly rocky dirt?;What will Kael do?;Kael believes the soil is mostly rocky dirt.;Kael wants to plant the high-altitude potatoes in rich, well-fertilized soil.;Kael will add more fertilizer and compost to the soil.;Kael believes the soil is rich and well-fertilized.;Kael wants to plant the high-altitude potatoes in rich, well-fertilized soil.;Kael will plant the high-altitude potatoes in the field.;A group of llamas wanders into Kael's village.;Kael sees the llamas wandering into the village.;Kael does not see the llamas wandering into the village.;auto;0
Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. Farhan believes that the sauce he has poured is garlic sauce. His assistant, who is busy preparing a different wrap, accidentally swaps the garlic sauce with a bottle of hot sauce, and Farhan unknowingly pours the hot sauce onto the shawarma wrap.;Farhan notices the sauce swap.;Farhan does not notice the sauce swap.;Farhan considers swapping the hot sauce for the correct garlic sauce on the shawarma wrap.;Farhan finishes preparing the chicken shawarma wrap.;Does Farhan believe the sauce he poured is garlic sauce or hot sauce?;Does Farhan want to serve the customer a chicken shawarma wrap with garlic sauce or hot sauce?;What will Farhan do?;Farhan believes the sauce he poured is hot sauce.;Farhan wants to serve the customer a chicken shawarma wrap with garlic sauce.;Farhan will remove the hot sauce and pour the correct garlic sauce onto the shawarma wrap.;Farhan believes the sauce he poured is garlic sauce.;Farhan wants to serve the customer a chicken shawarma wrap with garlic sauce.;Farhan finishes preparing the chicken shawarma wrap.;A street musician begins playing a tune on a traditional Turkish instrument nearby.;Farhan listens to the street musician playing.;Farhan does not notice the street musician playing.;auto;0
Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. He believes that the pot is full of water. Unbeknownst to him, a hole in the bottom of the pot has caused the water to leak out, leaving the pot empty.;Abhay notices the hole and the water leaking out.;Abhay does not notice the hole and the water leaking out.;Abhay searches for another water source to water the crops.;Abhay starts watering his crops with the water from the pot.;Does Abhay believe the pot is full of water or empty?;Does Abhay want to water his crops with the water from the pot or find another water source?;What will Abhay do?;Abhay believes the pot is empty.;Abhay wants to find another water source to water the crops.;Abhay will search for another water source to water the crops.;Abhay believes the pot is full of water.;Abhay wants to water his crops with the water from the pot.;Abhay will start watering his crops with the water from the pot.;A group of monkeys playfully chases each other through the village.;Abhay watches the group of monkeys playing.;Abhay does not watch the group of monkeys playing.;auto;0
Aniket is a marine biologist studying coral reefs off the coast of India. Aniket needs to collect samples of coral to analyze the effects of climate change on the reef. Aniket spots a healthy-looking coral formation in a specific area of the reef. Aniket believes the coral formation is healthy. A sudden wave surge stirs up sediment, covering the once healthy coral formation and causing it to become damaged.;Aniket notices the wave surge and the sediment covering the coral.;Aniket does not notice the wave surge or the sediment covering the coral.;Aniket finds another healthy coral formation to collect samples.;Aniket collects samples from the healthy coral formation he found.;Does Aniket believe the coral formation is healthy or damaged?;Does Aniket want to collect samples from a healthy coral formation or a damaged one?;What will Aniket do?;Aniket believes the coral formation is damaged.;Aniket wants to collect samples from a healthy coral formation.;Aniket will find another healthy coral formation to collect samples.;Aniket believes the coral formation is healthy.;Aniket wants to collect samples from a healthy coral formation.;Aniket will collect samples from the healthy coral formation he found.;A school of colorful fish swims by Aniket as he works.;Aniket observes the school of fish swimming by.;Aniket does not notice the school of fish swimming by.;auto;0
